route_id,hub_id,driver_id,vehicle_id,service_date,stop_count,exceptions_count,status
RTE-IND-20251021-001,HUB-IND,DRV-01031,VEH-0017,2025-10-21,33,0,completed
RTE-CIN-20250516-001,HUB-CIN,DRV-01026,VEH-0032,2025-05-16,34,0,completed
RTE-CIN-20250606-001,HUB-CIN,DRV-01041,VEH-0032,2025-06-06,40,0,completed
RTE-DET-20250701-001,HUB-DET,DRV-01046,VEH-0030,2025-07-01,25,0,completed
RTE-CMH-20250409-001,HUB-CMH,DRV-01028,VEH-0021,2025-04-09,61,0,completed
RTE-CHI-20251204-001,HUB-CHI,DRV-01047,VEH-0004,2025-12-04,51,2,partial
RTE-CHI-20250524-001,HUB-CHI,DRV-01012,VEH-0006,2025-05-24,43,0,completed
RTE-CMH-20250519-001,HUB-CMH,DRV-01043,VEH-0021,2025-05-19,20,0,completed
RTE-CMH-20250707-001,HUB-CMH,DRV-01009,VEH-0007,2025-07-07,53,0,completed
RTE-CMH-20250916-001,HUB-CMH,DRV-01009,VEH-0001,2025-09-16,40,1,partial
RTE-CHI-20251105-001,HUB-CHI,DRV-01005,VEH-0040,2025-11-05,59,6,partial
RTE-CHI-20250702-001,HUB-CHI,DRV-01048,VEH-0005,2025-07-02,46,0,completed
RTE-DET-20250804-002,HUB-DET,DRV-01022,VEH-0024,2025-08-04,29,0,completed
RTE-IND-20250418-001,HUB-IND,DRV-01033,VEH-0009,2025-04-18,32,0,completed
RTE-CHI-20250822-001,HUB-CHI,DRV-01011,VEH-0040,2025-08-22,51,0,completed
RTE-CHI-20251024-001,HUB-CHI,DRV-01007,VEH-0019,2025-10-24,25,1,completed
RTE-DET-20250908-001,HUB-DET,DRV-01014,VEH-0011,2025-09-08,34,0,completed
RTE-IND-20251118-001,HUB-IND,DRV-01045,VEH-0016,2025-11-18,60,0,completed
RTE-CHI-20250625-001,HUB-CHI,DRV-01047,VEH-0004,2025-06-25,41,0,completed
RTE-CHI-20250901-001,HUB-CHI,DRV-01007,VEH-0002,2025-09-01,40,0,completed
RTE-CIN-20251014-001,HUB-CIN,DRV-01029,VEH-0020,2025-10-14,22,0,completed
RTE-CMH-20250424-001,HUB-CMH,DRV-01039,VEH-0028,2025-04-24,21,0,completed
RTE-CHI-20250418-001,HUB-CHI,DRV-01047,VEH-0040,2025-04-18,32,1,partial
RTE-IND-20250409-001,HUB-IND,DRV-01024,VEH-0017,2025-04-09,37,0,completed
RTE-CHI-20250127-001,HUB-CHI,DRV-01047,VEH-0019,2025-01-27,56,0,completed
RTE-CMH-20251223-001,HUB-CMH,DRV-01030,VEH-0007,2025-12-23,44,0,completed
RTE-CMH-20250110-001,HUB-CMH,DRV-01036,VEH-0001,2025-01-10,48,1,completed
RTE-DET-20251118-001,HUB-DET,DRV-01004,VEH-0022,2025-11-18,25,0,completed
RTE-IND-20250523-001,HUB-IND,DRV-01031,VEH-0009,2025-05-23,56,0,completed
RTE-IND-20251225-001,HUB-IND,DRV-01045,VEH-0023,2025-12-25,20,2,completed
RTE-CIN-20250617-001,HUB-CIN,DRV-01034,VEH-0027,2025-06-17,64,0,completed
RTE-DET-20250704-001,HUB-DET,DRV-01037,VEH-0011,2025-07-04,30,0,completed
RTE-CIN-20250108-001,HUB-CIN,DRV-01029,VEH-0027,2025-01-08,21,0,completed
RTE-CIN-20250102-001,HUB-CIN,DRV-01023,VEH-0018,2025-01-02,47,0,completed
RTE-IND-20250328-001,HUB-IND,DRV-01024,VEH-0009,2025-03-28,19,3,partial
RTE-DET-20250805-001,HUB-DET,DRV-01046,VEH-0024,2025-08-05,51,0,completed
RTE-CIN-20251216-001,HUB-CIN,DRV-01025,VEH-0018,2025-12-16,55,0,completed
RTE-IND-20250219-001,HUB-IND,DRV-01042,VEH-0008,2025-02-19,36,0,completed
RTE-CHI-20250813-001,HUB-CHI,DRV-01012,VEH-0037,2025-08-13,44,0,completed
RTE-IND-20250808-001,HUB-IND,DRV-01024,VEH-0016,2025-08-08,25,0,completed
RTE-CHI-20250607-001,HUB-CHI,DRV-01048,VEH-0014,2025-06-07,60,0,completed
RTE-IND-20250124-001,HUB-IND,DRV-01045,VEH-0009,2025-01-24,24,0,completed
RTE-IND-20250717-001,HUB-IND,DRV-01032,VEH-0010,2025-07-17,56,0,completed
RTE-IND-20251021-002,HUB-IND,DRV-01024,VEH-0013,2025-10-21,63,0,completed
RTE-DET-20251222-001,HUB-DET,DRV-01037,VEH-0030,2025-12-22,65,0,completed
RTE-IND-20251223-001,HUB-IND,DRV-01042,VEH-0013,2025-12-23,35,0,completed
RTE-CMH-20250214-001,HUB-CMH,DRV-01018,VEH-0031,2025-02-14,47,0,completed
RTE-IND-20250808-002,HUB-IND,DRV-01024,VEH-0016,2025-08-08,46,0,completed
RTE-CIN-20251201-001,HUB-CIN,DRV-01027,VEH-0027,2025-12-01,57,0,completed
RTE-DET-20250421-001,HUB-DET,DRV-01022,VEH-0011,2025-04-21,22,0,completed
RTE-CIN-20250523-001,HUB-CIN,DRV-01019,VEH-0036,2025-05-23,25,0,completed
RTE-CIN-20251210-001,HUB-CIN,DRV-01029,VEH-0020,2025-12-10,34,0,completed
RTE-CIN-20250813-001,HUB-CIN,DRV-01002,VEH-0025,2025-08-13,46,1,completed
RTE-CHI-20251029-001,HUB-CHI,DRV-01035,VEH-0019,2025-10-29,22,0,completed
RTE-CHI-20251024-002,HUB-CHI,DRV-01035,VEH-0005,2025-10-24,21,0,completed
RTE-CHI-20250423-001,HUB-CHI,DRV-01047,VEH-0006,2025-04-23,39,0,completed
RTE-CHI-20250719-001,HUB-CHI,DRV-01007,VEH-0005,2025-07-19,33,3,partial
RTE-IND-20251022-001,HUB-IND,DRV-01024,VEH-0010,2025-10-22,32,0,completed
RTE-CHI-20250606-001,HUB-CHI,DRV-01020,VEH-0037,2025-06-06,42,3,completed
RTE-IND-20250101-001,HUB-IND,DRV-01188,VEH-0023,2025-01-01,52,6,partial
RTE-CHI-20251224-001,HUB-CHI,DRV-01005,VEH-0006,2025-12-24,35,2,partial
RTE-CHI-20250407-001,HUB-CHI,DRV-01048,VEH-0019,2025-04-07,45,0,completed
RTE-IND-20251002-001,HUB-IND,DRV-01188,VEH-0023,2025-10-02,64,0,completed
RTE-DET-20250115-001,HUB-DET,DRV-01004,VEH-0029,2025-01-15,20,3,partial
RTE-IND-20250220-001,HUB-IND,DRV-01032,VEH-0009,2025-02-20,46,1,partial
RTE-CMH-20251030-001,HUB-CMH,DRV-01040,VEH-0033,2025-10-30,37,0,completed
RTE-CHI-20250526-001,HUB-CHI,DRV-01035,VEH-0040,2025-05-26,23,0,completed
RTE-DET-20251123-001,HUB-DET,DRV-01014,VEH-0030,2025-11-23,62,0,completed
RTE-IND-20250406-001,HUB-IND,DRV-01188,VEH-0017,2025-04-06,49,0,completed
RTE-IND-20250104-001,HUB-IND,DRV-01042,VEH-0023,2025-01-04,50,0,completed
RTE-CIN-20250304-001,HUB-CIN,DRV-01008,VEH-0025,2025-03-04,52,0,completed
RTE-CMH-20250705-001,HUB-CMH,DRV-01015,VEH-0003,2025-07-05,64,0,completed
RTE-CIN-20250915-002,HUB-CIN,DRV-01027,VEH-0020,2025-09-15,44,0,completed
RTE-CIN-20250513-001,HUB-CIN,DRV-01008,VEH-0018,2025-05-13,58,0,completed
RTE-CHI-20250415-001,HUB-CHI,DRV-01048,VEH-0005,2025-04-15,25,0,completed
RTE-CMH-20250113-001,HUB-CMH,DRV-01028,VEH-0003,2025-01-13,31,0,completed
RTE-CMH-20250312-001,HUB-CMH,DRV-01015,VEH-0021,2025-03-12,50,0,completed
RTE-CMH-20250905-001,HUB-CMH,DRV-01016,VEH-0021,2025-09-05,25,0,completed
RTE-DET-20250826-001,HUB-DET,DRV-01022,VEH-0011,2025-08-26,36,0,completed
RTE-CIN-20251008-001,HUB-CIN,DRV-01019,VEH-0027,2025-10-08,23,0,completed
RTE-IND-20250725-001,HUB-IND,DRV-01042,VEH-0013,2025-07-25,59,0,completed
RTE-DET-20251208-001,HUB-DET,DRV-01022,VEH-0024,2025-12-08,48,0,completed
RTE-DET-20250717-001,HUB-DET,DRV-01021,VEH-0029,2025-07-17,43,2,completed
RTE-CHI-20250625-002,HUB-CHI,DRV-01035,VEH-0014,2025-06-25,39,0,completed
RTE-CIN-20251021-001,HUB-CIN,DRV-01029,VEH-0027,2025-10-21,49,0,completed
RTE-CIN-20251031-001,HUB-CIN,DRV-01029,VEH-0026,2025-10-31,27,0,completed
RTE-IND-20250603-001,HUB-IND,DRV-01031,VEH-0009,2025-06-03,18,0,completed
RTE-CIN-20251218-001,HUB-CIN,DRV-01025,VEH-0032,2025-12-18,20,0,completed
RTE-CHI-20251107-001,HUB-CHI,DRV-01048,VEH-0040,2025-11-07,61,5,partial
RTE-IND-20251218-001,HUB-IND,DRV-01006,VEH-0008,2025-12-18,42,0,completed
RTE-IND-20250313-001,HUB-IND,DRV-01045,VEH-0023,2025-03-13,45,0,completed
RTE-CHI-20250120-001,HUB-CHI,DRV-01011,VEH-0004,2025-01-20,34,2,completed
RTE-CHI-20251223-001,HUB-CHI,DRV-01012,VEH-0006,2025-12-23,19,0,completed
RTE-CMH-20250225-001,HUB-CMH,DRV-01043,VEH-0038,2025-02-25,34,0,completed
RTE-IND-20250725-002,HUB-IND,DRV-01033,VEH-0016,2025-07-25,52,0,completed
RTE-DET-20250925-001,HUB-DET,DRV-01021,VEH-0024,2025-09-25,26,0,completed
RTE-CHI-20250702-002,HUB-CHI,DRV-01035,VEH-0004,2025-07-02,39,1,completed
RTE-IND-20250823-001,HUB-IND,DRV-01188,VEH-0017,2025-08-23,51,0,completed
RTE-DET-20250207-001,HUB-DET,DRV-01037,VEH-0030,2025-02-07,30,0,completed
RTE-CMH-20250822-001,HUB-CMH,DRV-01039,VEH-0012,2025-08-22,39,0,completed
RTE-DET-20250723-001,HUB-DET,DRV-01037,VEH-0029,2025-07-23,33,0,completed
RTE-CIN-20250415-001,HUB-CIN,DRV-01041,VEH-0036,2025-04-15,54,0,completed
RTE-DET-20251003-001,HUB-DET,DRV-01046,VEH-0024,2025-10-03,22,0,completed
RTE-CHI-20251001-001,HUB-CHI,DRV-01020,VEH-0037,2025-10-01,20,0,completed
RTE-CIN-20251104-002,HUB-CIN,DRV-01041,VEH-0027,2025-11-04,25,0,completed
RTE-CIN-20250806-001,HUB-CIN,DRV-01023,VEH-0032,2025-08-06,48,0,completed
RTE-CIN-20250328-001,HUB-CIN,DRV-01019,VEH-0026,2025-03-28,61,0,completed
RTE-CHI-20250526-002,HUB-CHI,DRV-01035,VEH-0019,2025-05-26,25,0,completed
RTE-DET-20251030-001,HUB-DET,DRV-01014,VEH-0029,2025-10-30,48,0,completed
RTE-CMH-20251107-001,HUB-CMH,DRV-01009,VEH-0001,2025-11-07,26,0,completed
RTE-CMH-20250911-001,HUB-CMH,DRV-01036,VEH-0001,2025-09-11,61,0,completed
RTE-IND-20251114-001,HUB-IND,DRV-01031,VEH-0023,2025-11-14,18,6,partial
RTE-CHI-20250221-001,HUB-CHI,DRV-01007,VEH-0019,2025-02-21,58,1,partial
RTE-DET-20250630-001,HUB-DET,DRV-01014,VEH-0024,2025-06-30,64,0,completed
RTE-CHI-20251219-001,HUB-CHI,DRV-01011,VEH-0002,2025-12-19,24,0,completed
RTE-DET-20250806-002,HUB-DET,DRV-01014,VEH-0022,2025-08-06,56,0,completed
RTE-CHI-20250925-001,HUB-CHI,DRV-01017,VEH-0006,2025-09-25,64,0,completed
RTE-IND-20250307-001,HUB-IND,DRV-01032,VEH-0017,2025-03-07,52,2,completed
RTE-DET-20250128-001,HUB-DET,DRV-01021,VEH-0024,2025-01-28,56,0,completed
RTE-CMH-20250526-001,HUB-CMH,DRV-01039,VEH-0021,2025-05-26,28,2,completed
RTE-IND-20250408-001,HUB-IND,DRV-01006,VEH-0013,2025-04-08,35,0,completed
RTE-CHI-20251104-001,HUB-CHI,DRV-01012,VEH-0005,2025-11-04,50,5,partial
RTE-CIN-20251017-002,HUB-CIN,DRV-01027,VEH-0018,2025-10-17,26,0,completed
RTE-IND-20250103-001,HUB-IND,DRV-01032,VEH-0008,2025-01-03,19,0,completed
RTE-DET-20250107-001,HUB-DET,DRV-01022,VEH-0011,2025-01-07,60,0,completed
RTE-IND-20250501-001,HUB-IND,DRV-01032,VEH-0009,2025-05-01,49,0,completed
RTE-CHI-20251126-001,HUB-CHI,DRV-01047,VEH-0037,2025-11-26,40,0,completed
RTE-DET-20250814-001,HUB-DET,DRV-01004,VEH-0029,2025-08-14,26,0,completed
RTE-CHI-20250901-002,HUB-CHI,DRV-01020,VEH-0019,2025-09-01,37,0,completed
RTE-IND-20250224-002,HUB-IND,DRV-01188,VEH-0008,2025-02-24,29,0,completed
RTE-DET-20250728-001,HUB-DET,DRV-01004,VEH-0024,2025-07-28,61,0,completed
RTE-CIN-20250422-001,HUB-CIN,DRV-01041,VEH-0036,2025-04-22,26,0,completed
RTE-DET-20250402-001,HUB-DET,DRV-01046,VEH-0011,2025-04-02,26,0,completed
RTE-CMH-20250627-001,HUB-CMH,DRV-01049,VEH-0003,2025-06-27,31,0,completed
RTE-CHI-20250424-001,HUB-CHI,DRV-01005,VEH-0037,2025-04-24,28,0,completed
RTE-IND-20251004-001,HUB-IND,DRV-01031,VEH-0010,2025-10-04,46,0,completed
RTE-CIN-20250421-001,HUB-CIN,DRV-01003,VEH-0036,2025-04-21,26,0,completed
RTE-CMH-20251106-001,HUB-CMH,DRV-01013,VEH-0033,2025-11-06,25,0,completed
RTE-CHI-20250226-001,HUB-CHI,DRV-01047,VEH-0019,2025-02-26,56,6,partial
RTE-DET-20250611-001,HUB-DET,DRV-01046,VEH-0011,2025-06-11,36,0,completed
RTE-CMH-20250213-001,HUB-CMH,DRV-01018,VEH-0007,2025-02-13,29,6,partial
RTE-IND-20251201-001,HUB-IND,DRV-01024,VEH-0008,2025-12-01,18,0,completed
RTE-CHI-20250509-001,HUB-CHI,DRV-01035,VEH-0014,2025-05-09,31,0,completed
RTE-IND-20250529-001,HUB-IND,DRV-01032,VEH-0023,2025-05-29,28,0,completed
RTE-DET-20251016-001,HUB-DET,DRV-01037,VEH-0011,2025-10-16,34,0,completed
RTE-CMH-20251220-001,HUB-CMH,DRV-01039,VEH-0001,2025-12-20,47,0,completed
RTE-DET-20250326-001,HUB-DET,DRV-01022,VEH-0030,2025-03-26,33,0,completed
RTE-CIN-20250825-001,HUB-CIN,DRV-01002,VEH-0036,2025-08-25,58,0,completed
RTE-IND-20250817-001,HUB-IND,DRV-01188,VEH-0008,2025-08-17,21,0,completed
RTE-CHI-20250422-001,HUB-CHI,DRV-01048,VEH-0019,2025-04-22,31,1,completed
RTE-DET-20250131-001,HUB-DET,DRV-01014,VEH-0022,2025-01-31,39,0,completed
RTE-DET-20250806-003,HUB-DET,DRV-01022,VEH-0024,2025-08-06,36,0,completed
RTE-DET-20251010-001,HUB-DET,DRV-01004,VEH-0029,2025-10-10,28,0,completed
RTE-CMH-20250608-001,HUB-CMH,DRV-01013,VEH-0021,2025-06-08,35,0,completed
RTE-DET-20250405-001,HUB-DET,DRV-01021,VEH-0029,2025-04-05,51,0,completed
RTE-IND-20250203-001,HUB-IND,DRV-01033,VEH-0017,2025-02-03,44,0,completed
RTE-CMH-20250620-001,HUB-CMH,DRV-01028,VEH-0028,2025-06-20,49,0,completed
RTE-CIN-20250204-001,HUB-CIN,DRV-01025,VEH-0018,2025-02-04,64,0,completed
RTE-DET-20251212-001,HUB-DET,DRV-01021,VEH-0030,2025-12-12,41,0,completed
RTE-IND-20250729-001,HUB-IND,DRV-01045,VEH-0008,2025-07-29,20,0,completed
RTE-CHI-20251124-001,HUB-CHI,DRV-01012,VEH-0040,2025-11-24,65,2,completed
RTE-IND-20250722-001,HUB-IND,DRV-01033,VEH-0017,2025-07-22,26,3,completed
RTE-IND-20250307-002,HUB-IND,DRV-01024,VEH-0017,2025-03-07,34,0,completed
RTE-CIN-20250903-001,HUB-CIN,DRV-01038,VEH-0025,2025-09-03,64,0,completed
RTE-CHI-20251125-002,HUB-CHI,DRV-01012,VEH-0040,2025-11-25,43,0,completed
RTE-CMH-20250520-001,HUB-CMH,DRV-01015,VEH-0007,2025-05-20,45,0,completed
RTE-CHI-20250130-001,HUB-CHI,DRV-01047,VEH-0002,2025-01-30,52,4,partial
RTE-CIN-20251030-001,HUB-CIN,DRV-01008,VEH-0018,2025-10-30,19,0,completed
RTE-IND-20250318-001,HUB-IND,DRV-01032,VEH-0016,2025-03-18,27,0,completed
RTE-IND-20250214-001,HUB-IND,DRV-01045,VEH-0009,2025-02-14,53,4,partial
RTE-IND-20251030-001,HUB-IND,DRV-01032,VEH-0016,2025-10-30,21,0,completed
RTE-CIN-20250828-001,HUB-CIN,DRV-01019,VEH-0032,2025-08-28,60,0,completed
RTE-CIN-20251218-002,HUB-CIN,DRV-01002,VEH-0018,2025-12-18,46,0,completed
RTE-IND-20250609-001,HUB-IND,DRV-01045,VEH-0013,2025-06-09,43,0,completed
RTE-DET-20250424-001,HUB-DET,DRV-01046,VEH-0011,2025-04-24,61,0,completed
RTE-IND-20251121-001,HUB-IND,DRV-01032,VEH-0016,2025-11-21,44,0,completed
RTE-IND-20251216-002,HUB-IND,DRV-01006,VEH-0016,2025-12-16,38,0,completed
RTE-IND-20250403-001,HUB-IND,DRV-01045,VEH-0009,2025-04-03,54,0,completed
RTE-CHI-20251017-001,HUB-CHI,DRV-01012,VEH-0005,2025-10-17,38,0,completed
RTE-IND-20251120-001,HUB-IND,DRV-01045,VEH-0016,2025-11-20,63,0,completed
RTE-DET-20250326-002,HUB-DET,DRV-01004,VEH-0024,2025-03-26,47,0,completed
RTE-CHI-20251211-001,HUB-CHI,DRV-01017,VEH-0014,2025-12-11,45,0,completed
RTE-IND-20250221-001,HUB-IND,DRV-01045,VEH-0008,2025-02-21,52,4,partial
RTE-CHI-20250722-001,HUB-CHI,DRV-01048,VEH-0037,2025-07-22,65,0,completed
RTE-CIN-20251223-001,HUB-CIN,DRV-01027,VEH-0027,2025-12-23,28,3,partial
RTE-CHI-20250511-001,HUB-CHI,DRV-01020,VEH-0004,2025-05-11,51,0,completed
RTE-DET-20251115-001,HUB-DET,DRV-01004,VEH-0022,2025-11-15,60,1,partial
RTE-CHI-20251202-001,HUB-CHI,DRV-01007,VEH-0006,2025-12-02,52,4,partial
RTE-IND-20250408-002,HUB-IND,DRV-01188,VEH-0013,2025-04-08,55,1,partial
RTE-DET-20250415-001,HUB-DET,DRV-01022,VEH-0030,2025-04-15,33,0,completed
RTE-CMH-20250102-001,HUB-CMH,DRV-01043,VEH-0007,2025-01-02,28,0,completed
RTE-CMH-20250115-001,HUB-CMH,DRV-01018,VEH-0012,2025-01-15,24,0,completed
RTE-CHI-20250707-001,HUB-CHI,DRV-01005,VEH-0002,2025-07-07,58,0,completed
RTE-CMH-20251024-001,HUB-CMH,DRV-01016,VEH-0007,2025-10-24,31,1,completed
RTE-CHI-20250722-002,HUB-CHI,DRV-01007,VEH-0014,2025-07-22,18,0,completed
RTE-CMH-20250401-001,HUB-CMH,DRV-01010,VEH-0033,2025-04-01,20,0,completed
