incident_id,type,severity,shipment_id,route_id,driver_id,vehicle_id,hub_id,occurred_at,summary
INC-2025-00026,delay,2,SHP-202506-000070,RTE-CHI-20251022-004,,,HUB-CHI,2025-10-22T06:22:00,Delay event (severity 2) at Chicago.
INC-2025-00027,delay,1,SHP-202510-000330,,,,HUB-IND,2025-11-29T10:52:00,Delay event (severity 1) at Indianapolis.
INC-2025-00029,accident,1,SHP-202502-000209,RTE-CMH-20250518-002,,VEH-0031,HUB-CMH,2025-05-18T13:18:00,Accident event (severity 1) at Columbus.
INC-2025-00030,delay,1,,RTE-CHI-20251023-002,DRV-01011,VEH-0037,HUB-CHI,2025-10-23T08:38:00,Delay event (severity 1) at Chicago.
INC-2025-00031,damage,4,SHP-202510-000050,RTE-CIN-20250620-001,,,HUB-CIN,2025-06-20T07:07:00,Damage event (severity 4) at Cincinnati.
INC-2025-00033,delay,1,,,,,HUB-IND,2025-04-30T11:13:00,Delay event (severity 1) at Indianapolis.
INC-2025-00034,delay,1,,,,,HUB-DET,2025-06-22T06:50:00,Delay event (severity 1) at Detroit.
INC-2025-00035,delay,3,,RTE-DET-20251126-001,DRV-01022,,HUB-DET,2025-11-26T07:14:00,Delay event (severity 3) at Detroit.
INC-2025-00036,weather,2,,RTE-DET-20251112-001,DRV-01022,,HUB-DET,2025-11-12T13:14:00,Weather event (severity 2) at Detroit.
INC-2025-00037,dispute,3,SHP-202502-000140,,,,HUB-CMH,2025-06-07T11:18:00,Dispute event (severity 3) at Columbus.
INC-2025-00038,damage,1,,,,,HUB-DET,2025-04-20T16:45:00,Damage event (severity 1) at Detroit.
INC-2025-00041,damage,1,,RTE-CMH-20250219-001,DRV-01016,VEH-0001,HUB-CMH,2025-02-19T08:15:00,Damage event (severity 1) at Columbus.
INC-2025-00042,mispick,1,,RTE-CHI-20250911-001,DRV-01047,,HUB-CHI,2025-09-11T17:01:00,Mispick event (severity 1) at Chicago.
INC-2025-00044,delay,2,SHP-202509-000212,,,,HUB-IND,2025-10-24T10:42:00,Delay event (severity 2) at Indianapolis.
INC-2025-00045,delay,4,SHP-202508-000072,RTE-IND-20250616-002,,,HUB-IND,2025-06-16T19:55:00,Delay event (severity 4) at Indianapolis.
INC-2025-00046,damage,3,SHP-202503-000116,RTE-CMH-20250924-001,,,HUB-CMH,2025-09-24T11:16:00,Damage event (severity 3) at Columbus.
INC-2025-00048,delay,2,SHP-202507-000221,,,,HUB-CMH,2025-11-28T16:07:00,Delay event (severity 2) at Columbus.
INC-2025-00050,delay,1,SHP-202508-000001,RTE-CIN-20250627-002,,,HUB-CIN,2025-06-27T14:48:00,Delay event (severity 1) at Cincinnati.
INC-2025-00051,weather,1,SHP-202501-000096,,,,HUB-IND,2025-06-12T11:26:00,Weather event (severity 1) at Indianapolis.
INC-2025-00052,delay,3,SHP-202505-000068,RTE-CMH-20250519-003,DRV-01049,VEH-0003,HUB-CMH,2025-05-19T09:30:00,Delay event (severity 3) at Columbus.
INC-2025-00053,weather,3,,RTE-CMH-20251006-004,,VEH-0028,HUB-CMH,2025-10-06T13:07:00,Weather event (severity 3) at Columbus.
INC-2025-00060,weather,3,,RTE-CHI-20250626-001,,VEH-0005,HUB-CHI,2025-06-26T12:08:00,Weather event (severity 3) at Chicago.
INC-2025-00061,weather,2,,RTE-IND-20250609-004,DRV-01031,,HUB-IND,2025-06-09T20:26:00,Weather event (severity 2) at Indianapolis.
INC-2025-00064,delay,2,,RTE-IND-20250317-002,DRV-01024,,HUB-IND,2025-03-17T13:46:00,Delay event (severity 2) at Indianapolis.
INC-2025-00065,dispute,2,SHP-202508-000051,,,,HUB-CIN,2025-02-21T13:25:00,Dispute event (severity 2) at Cincinnati.
INC-2025-00067,accident,4,,RTE-IND-20251011-002,DRV-01032,VEH-0016,HUB-IND,2025-10-11T17:35:00,Accident event (severity 4) at Indianapolis.
INC-2025-00068,accident,1,SHP-202508-000161,RTE-IND-20250127-005,DRV-01032,VEH-0013,HUB-IND,2025-01-27T09:39:00,Accident event (severity 1) at Indianapolis.
INC-2025-00069,damage,1,,,,,HUB-CIN,2025-02-22T08:24:00,Damage event (severity 1) at Cincinnati.
INC-2025-00071,mispick,3,SHP-202512-000199,RTE-CIN-20250726-001,DRV-01027,,HUB-CIN,2025-07-26T18:00:00,Mispick event (severity 3) at Cincinnati.
INC-2025-00072,damage,1,,RTE-DET-20250912-002,DRV-01014,,HUB-DET,2025-09-12T08:37:00,Damage event (severity 1) at Detroit.
INC-2025-00073,delay,2,,,,,HUB-CMH,2025-07-18T19:09:00,Delay event (severity 2) at Columbus.
INC-2025-00074,weather,2,,RTE-CIN-20251008-001,DRV-01019,,HUB-CIN,2025-10-08T15:25:00,Weather event (severity 2) at Cincinnati.
INC-2025-00075,accident,3,,RTE-CMH-20250416-005,,VEH-0007,HUB-CMH,2025-04-16T13:28:00,Accident event (severity 3) at Columbus.
INC-2025-00076,weather,1,SHP-202508-000005,RTE-DET-20250624-002,,VEH-0030,HUB-DET,2025-06-24T06:50:00,Weather event (severity 1) at Detroit.
INC-2025-00077,weather,1,,RTE-CMH-20250105-001,DRV-01043,VEH-0021,HUB-CMH,2025-01-05T14:14:00,Weather event (severity 1) at Columbus.
INC-2025-00079,weather,2,SHP-202509-000193,RTE-IND-20250816-001,DRV-01024,,HUB-IND,2025-08-16T17:46:00,Weather event (severity 2) at Indianapolis.
INC-2025-00080,accident,1,,,,VEH-0019,HUB-CHI,2025-07-11T12:27:00,Accident event (severity 1) at Chicago.
INC-2025-00081,delay,3,SHP-202508-000078,RTE-CHI-20250317-001,DRV-01012,,HUB-CHI,2025-03-17T20:11:00,Delay event (severity 3) at Chicago.
INC-2025-00082,mispick,1,SHP-202505-000254,RTE-CHI-20250410-001,,,HUB-CHI,2025-04-10T19:23:00,Mispick event (severity 1) at Chicago.
INC-2025-00083,accident,1,,,,VEH-0029,HUB-DET,2025-07-01T10:58:00,Accident event (severity 1) at Detroit.
INC-2025-00084,delay,3,,RTE-IND-20250507-002,DRV-01024,VEH-0023,HUB-IND,2025-05-07T17:33:00,Delay event (severity 3) at Indianapolis.
INC-2025-00085,delay,2,,,,,HUB-CHI,2025-07-22T07:29:00,Delay event (severity 2) at Chicago.
INC-2025-00086,delay,1,SHP-202503-000100,RTE-CIN-20251022-003,DRV-01002,,HUB-CIN,2025-10-22T19:20:00,Delay event (severity 1) at Cincinnati.
INC-2025-00089,delay,2,,RTE-CHI-20251106-004,DRV-01017,,HUB-CHI,2025-11-06T17:27:00,Delay event (severity 2) at Chicago.
INC-2025-00091,accident,2,SHP-202505-000008,RTE-CMH-20250422-002,DRV-01010,VEH-0028,HUB-CMH,2025-04-22T06:41:00,Accident event (severity 2) at Columbus.
INC-2025-00093,damage,2,SHP-202501-000294,RTE-CMH-20250318-001,,,HUB-CMH,2025-03-18T16:06:00,Damage event (severity 2) at Columbus.
INC-2025-00094,damage,3,,RTE-CMH-20250707-003,DRV-01040,,HUB-CMH,2025-07-07T15:16:00,Damage event (severity 3) at Columbus.
INC-2025-00095,damage,3,SHP-202505-000124,RTE-CMH-20251010-004,DRV-01009,VEH-0021,HUB-CMH,2025-10-10T07:28:00,Damage event (severity 3) at Columbus.
INC-2025-00097,weather,2,SHP-202512-000399,RTE-CHI-20250521-001,DRV-01012,,HUB-CHI,2025-05-21T13:09:00,Weather event (severity 2) at Chicago.
INC-2025-00099,delay,3,SHP-202506-000013,RTE-CIN-20250704-002,,,HUB-CIN,2025-07-04T15:42:00,Delay event (severity 3) at Cincinnati.
INC-2025-00100,accident,4,SHP-202512-000326,RTE-CHI-20250313-003,,VEH-0005,HUB-CHI,2025-03-13T15:08:00,Accident event (severity 4) at Chicago.
INC-2025-00102,delay,2,,,,,HUB-CMH,2025-07-17T20:33:00,Delay event (severity 2) at Columbus.
INC-2025-00104,dispute,2,,,,,HUB-IND,2025-04-08T14:47:00,Dispute event (severity 2) at Indianapolis.
INC-2025-00105,delay,1,,RTE-CHI-20250721-005,,VEH-0040,HUB-CHI,2025-07-21T10:11:00,Delay event (severity 1) at Chicago.
INC-2025-00106,weather,2,SHP-202510-000233,RTE-CMH-20250627-001,DRV-01049,,HUB-CMH,2025-06-27T09:14:00,Weather event (severity 2) at Columbus.
INC-2025-00109,dispute,4,,,,,HUB-CMH,2025-01-18T17:55:00,Dispute event (severity 4) at Columbus.
INC-2025-00110,mispick,4,SHP-202505-000085,RTE-CMH-20251109-002,DRV-01018,,HUB-CMH,2025-11-09T10:35:00,Mispick event (severity 4) at Columbus.
INC-2025-00111,delay,1,,RTE-CIN-20250217-004,DRV-01029,VEH-0032,HUB-CIN,2025-02-17T13:41:00,Delay event (severity 1) at Cincinnati.
INC-2025-00112,delay,2,SHP-202509-000128,,,,HUB-DET,2025-04-23T07:45:00,Delay event (severity 2) at Detroit.
INC-2025-00113,mispick,1,,,,,HUB-CMH,2025-08-22T19:05:00,Mispick event (severity 1) at Columbus.
INC-2025-00114,damage,1,SHP-202510-000199,RTE-DET-20251230-003,DRV-01014,,HUB-DET,2025-12-30T18:44:00,Damage event (severity 1) at Detroit.
INC-2025-00116,delay,1,SHP-202510-000112,,,,HUB-CMH,2025-08-18T10:03:00,Delay event (severity 1) at Columbus.
INC-2025-00117,delay,3,,RTE-CIN-20250502-001,DRV-01008,VEH-0036,HUB-CIN,2025-05-02T12:12:00,Delay event (severity 3) at Cincinnati.
INC-2025-00118,mispick,1,,,,,HUB-CMH,2025-06-13T20:35:00,Mispick event (severity 1) at Columbus.
INC-2025-00120,delay,2,SHP-202503-000240,RTE-DET-20251021-003,,VEH-0011,HUB-DET,2025-10-21T12:01:00,Delay event (severity 2) at Detroit.
INC-2025-00121,delay,2,,RTE-DET-20250115-003,DRV-01022,,HUB-DET,2025-01-15T11:07:00,Delay event (severity 2) at Detroit.
INC-2025-00123,delay,2,,RTE-CIN-20250424-002,,VEH-0027,HUB-CIN,2025-04-24T13:32:00,Delay event (severity 2) at Cincinnati.
INC-2025-00124,delay,4,,,,,HUB-CIN,2025-08-14T18:56:00,Delay event (severity 4) at Cincinnati.
INC-2025-00125,delay,1,SHP-202508-000037,,,,HUB-CMH,2025-03-10T20:26:00,Delay event (severity 1) at Columbus.
INC-2025-00129,mispick,2,SHP-202510-000265,RTE-DET-20250907-001,,,HUB-DET,2025-09-07T08:16:00,Mispick event (severity 2) at Detroit.
INC-2025-00130,delay,1,,RTE-DET-20250208-001,DRV-01037,VEH-0011,HUB-DET,2025-02-08T11:20:00,Delay event (severity 1) at Detroit.
INC-2025-00131,delay,2,,RTE-CHI-20251031-004,,,HUB-CHI,2025-10-31T18:44:00,Delay event (severity 2) at Chicago.
INC-2025-00135,damage,2,,RTE-DET-20250606-001,DRV-01021,VEH-0011,HUB-DET,2025-06-06T13:31:00,Damage event (severity 2) at Detroit.
INC-2025-00136,damage,2,SHP-202510-000090,,,,HUB-CMH,2025-06-18T15:14:00,Damage event (severity 2) at Columbus.
INC-2025-00139,mispick,3,SHP-202509-000289,RTE-IND-20250109-002,,VEH-0010,HUB-IND,2025-01-09T14:32:00,Mispick event (severity 3) at Indianapolis.
INC-2025-00140,dispute,3,,,,,HUB-CMH,2025-06-05T12:11:00,Dispute event (severity 3) at Columbus.
INC-2025-00141,delay,1,,RTE-IND-20250904-003,,VEH-0010,HUB-IND,2025-09-04T19:58:00,Delay event (severity 1) at Indianapolis.
INC-2025-00143,damage,2,SHP-202505-000095,RTE-CMH-20251217-003,DRV-01028,,HUB-CMH,2025-12-17T20:30:00,Damage event (severity 2) at Columbus.
INC-2025-00144,delay,2,,,,,HUB-CHI,2025-01-08T16:40:00,Delay event (severity 2) at Chicago.
INC-2025-00145,delay,1,,RTE-CIN-20250102-005,DRV-01034,,HUB-CIN,2025-01-02T08:03:00,Delay event (severity 1) at Cincinnati.
INC-2025-00147,damage,2,,,,,HUB-CHI,2025-12-02T09:25:00,Damage event (severity 2) at Chicago.
INC-2025-00148,damage,1,SHP-202508-000120,,,,HUB-CMH,2025-03-22T09:05:00,Damage event (severity 1) at Columbus.
INC-2025-00150,mispick,3,,RTE-CIN-20250523-005,DRV-01008,VEH-0025,HUB-CIN,2025-05-23T08:02:00,Mispick event (severity 3) at Cincinnati.
INC-2025-00151,accident,2,SHP-202511-000317,RTE-CHI-20250502-001,,VEH-0040,HUB-CHI,2025-05-02T20:37:00,Accident event (severity 2) at Chicago.
INC-2025-00153,weather,3,,,,,HUB-DET,2025-12-24T20:39:00,Weather event (severity 3) at Detroit.
INC-2025-00154,damage,3,SHP-202501-000148,RTE-CHI-20251231-003,DRV-01012,VEH-0019,HUB-CHI,2025-12-31T10:10:00,Damage event (severity 3) at Chicago.
INC-2025-00157,delay,1,,RTE-IND-20250108-001,,,HUB-IND,2025-01-08T15:10:00,Delay event (severity 1) at Indianapolis.
INC-2025-00159,delay,1,SHP-202507-000148,RTE-CIN-20251210-002,,VEH-0025,HUB-CIN,2025-12-10T17:44:00,Delay event (severity 1) at Cincinnati.
INC-2025-00161,delay,1,,,,,HUB-CMH,2025-03-21T14:59:00,Delay event (severity 1) at Columbus.
INC-2025-00163,damage,1,SHP-202501-000187,RTE-CMH-20251030-002,DRV-01039,,HUB-CMH,2025-10-30T07:55:00,Damage event (severity 1) at Columbus.
INC-2025-00165,weather,4,,RTE-CHI-20250523-002,,VEH-0004,HUB-CHI,2025-05-23T15:45:00,Weather event (severity 4) at Chicago.
INC-2025-00167,mispick,3,SHP-202512-000297,RTE-DET-20250724-002,,,HUB-DET,2025-07-24T10:50:00,Mispick event (severity 3) at Detroit.
INC-2025-00168,mispick,1,,RTE-IND-20250708-004,DRV-01045,,HUB-IND,2025-07-08T07:08:00,Mispick event (severity 1) at Indianapolis.
INC-2025-00170,mispick,2,SHP-202504-000009,RTE-CIN-20251118-003,,VEH-0018,HUB-CIN,2025-11-18T12:45:00,Mispick event (severity 2) at Cincinnati.
INC-2025-00171,accident,1,,RTE-CHI-20250612-001,,VEH-0005,HUB-CHI,2025-06-12T10:58:00,Accident event (severity 1) at Chicago.
INC-2025-00173,delay,1,SHP-202508-000148,RTE-DET-20251030-003,,VEH-0022,HUB-DET,2025-10-30T11:58:00,Delay event (severity 1) at Detroit.
INC-2025-00174,delay,1,,,,,HUB-CIN,2025-08-03T07:59:00,Delay event (severity 1) at Cincinnati.
INC-2025-00175,damage,1,SHP-202510-000178,RTE-DET-20250902-008,DRV-01046,VEH-0011,HUB-DET,2025-09-02T20:48:00,Damage event (severity 1) at Detroit.
INC-2025-00176,delay,3,SHP-202507-000011,RTE-CHI-20250721-002,,VEH-0040,HUB-CHI,2025-07-21T20:47:00,Delay event (severity 3) at Chicago.
INC-2025-00177,damage,1,,RTE-IND-20250708-004,,,HUB-IND,2025-07-08T16:35:00,Damage event (severity 1) at Indianapolis.
INC-2025-00178,damage,3,,RTE-IND-20250210-001,,,HUB-IND,2025-02-10T11:18:00,Damage event (severity 3) at Indianapolis.
INC-2025-00179,weather,1,,,,,HUB-CHI,2025-10-29T10:23:00,Weather event (severity 1) at Chicago.
INC-2025-00180,accident,2,,RTE-CHI-20250724-001,DRV-01020,VEH-0040,HUB-CHI,2025-07-24T20:23:00,Accident event (severity 2) at Chicago.
INC-2025-00182,weather,2,SHP-202503-000277,RTE-CMH-20250619-003,DRV-01040,VEH-0007,HUB-CMH,2025-06-19T11:36:00,Weather event (severity 2) at Columbus.
INC-2025-00184,damage,1,,RTE-DET-20250907-001,DRV-01022,,HUB-DET,2025-09-07T12:42:00,Damage event (severity 1) at Detroit.
INC-2025-00185,weather,1,,RTE-CMH-20250724-002,,VEH-0033,HUB-CMH,2025-07-24T07:16:00,Weather event (severity 1) at Columbus.
INC-2025-00189,delay,2,SHP-202503-000220,,,,HUB-IND,2025-10-30T17:18:00,Delay event (severity 2) at Indianapolis.
INC-2025-00190,delay,1,,RTE-IND-20250916-001,,,HUB-IND,2025-09-16T10:51:00,Delay event (severity 1) at Indianapolis.
INC-2025-00191,delay,1,,,,,HUB-CMH,2025-02-25T20:22:00,Delay event (severity 1) at Columbus.
INC-2025-00192,delay,2,,,,,HUB-CMH,2025-11-02T10:42:00,Delay event (severity 2) at Columbus.
INC-2025-00193,damage,2,,RTE-IND-20250611-003,DRV-01045,,HUB-IND,2025-06-11T07:30:00,Damage event (severity 2) at Indianapolis.
INC-2025-00194,weather,1,,,,,HUB-DET,2025-02-19T10:47:00,Weather event (severity 1) at Detroit.
INC-2025-00196,damage,4,SHP-202510-000284,RTE-CMH-20250828-001,DRV-01015,,HUB-CMH,2025-08-28T18:55:00,Damage event (severity 4) at Columbus.
INC-2025-00198,mispick,1,,RTE-CIN-20251013-003,DRV-01034,VEH-0032,HUB-CIN,2025-10-13T12:35:00,Mispick event (severity 1) at Cincinnati.
INC-2025-00200,delay,3,,RTE-CHI-20250514-001,,,HUB-CHI,2025-05-14T18:29:00,Delay event (severity 3) at Chicago.
INC-2025-00201,damage,3,SHP-202501-000173,RTE-CIN-20250812-002,,,HUB-CIN,2025-08-12T16:08:00,Damage event (severity 3) at Cincinnati.
INC-2025-00202,delay,1,,RTE-CIN-20251219-001,DRV-01029,VEH-0020,HUB-CIN,2025-12-19T09:54:00,Delay event (severity 1) at Cincinnati.
INC-2025-00203,damage,2,,,,,HUB-CHI,2025-11-01T12:45:00,Damage event (severity 2) at Chicago.
INC-2025-00204,mispick,2,,,,,HUB-DET,2025-04-16T19:36:00,Mispick event (severity 2) at Detroit.
INC-2025-00207,weather,2,SHP-202503-000226,RTE-DET-20250515-001,,,HUB-DET,2025-05-15T11:26:00,Weather event (severity 2) at Detroit.
INC-2025-00208,weather,3,SHP-202512-000359,RTE-CHI-20251024-004,DRV-01017,VEH-0040,HUB-CHI,2025-10-24T07:56:00,Weather event (severity 3) at Chicago.
INC-2025-00209,delay,3,,RTE-IND-20250219-003,DRV-01188,,HUB-IND,2025-02-19T08:49:00,Delay event (severity 3) at Indianapolis.
INC-2025-00211,delay,2,SHP-202502-000230,RTE-CMH-20250620-004,,VEH-0031,HUB-CMH,2025-06-20T14:04:00,Delay event (severity 2) at Columbus.
INC-2025-00213,weather,2,SHP-202511-000080,RTE-IND-20250529-003,,,HUB-IND,2025-05-29T15:52:00,Weather event (severity 2) at Indianapolis.
INC-2025-00217,mispick,3,SHP-202505-000042,RTE-CHI-20251121-004,DRV-01035,VEH-0037,HUB-CHI,2025-11-21T19:47:00,Mispick event (severity 3) at Chicago.
INC-2025-00218,weather,1,,RTE-DET-20250924-003,DRV-01014,,HUB-DET,2025-09-24T16:28:00,Weather event (severity 1) at Detroit.
INC-2025-00219,delay,1,,RTE-DET-20250111-001,DRV-01022,,HUB-DET,2025-01-11T09:58:00,Delay event (severity 1) at Detroit.
INC-2025-00220,delay,1,,,,,HUB-CIN,2025-08-28T08:04:00,Delay event (severity 1) at Cincinnati.
INC-2025-00222,damage,2,,,,,HUB-CIN,2025-03-03T15:24:00,Damage event (severity 2) at Cincinnati.
INC-2025-00223,damage,1,SHP-202510-000151,RTE-DET-20250117-001,DRV-01014,VEH-0024,HUB-DET,2025-01-17T14:14:00,Damage event (severity 1) at Detroit.
INC-2025-00224,weather,1,SHP-202505-000281,RTE-CMH-20250826-002,DRV-01039,,HUB-CMH,2025-08-26T07:26:00,Weather event (severity 1) at Columbus.
INC-2025-00226,damage,4,SHP-202506-000033,,,,HUB-CMH,2025-10-06T16:01:00,Damage event (severity 4) at Columbus.
INC-2025-00227,damage,1,,RTE-IND-20250606-002,DRV-01031,,HUB-IND,2025-06-06T19:15:00,Damage event (severity 1) at Indianapolis.
INC-2025-00228,mispick,1,SHP-202503-000003,RTE-CIN-20250824-001,DRV-01003,VEH-0020,HUB-CIN,2025-08-24T18:43:00,Mispick event (severity 1) at Cincinnati.
INC-2025-00229,weather,2,SHP-202507-000299,RTE-CHI-20250905-002,DRV-01047,,HUB-CHI,2025-09-05T19:19:00,Weather event (severity 2) at Chicago.
INC-2025-00230,weather,1,SHP-202512-000254,RTE-IND-20250127-001,DRV-01032,,HUB-IND,2025-01-27T19:24:00,Weather event (severity 1) at Indianapolis.
INC-2025-00231,damage,4,SHP-202502-000066,RTE-CMH-20250915-001,DRV-01010,,HUB-CMH,2025-09-15T15:23:00,Damage event (severity 4) at Columbus.
INC-2025-00232,damage,4,,,,,HUB-CIN,2025-09-05T07:02:00,Damage event (severity 4) at Cincinnati.
INC-2025-00234,delay,2,SHP-202512-000150,RTE-CHI-20250721-005,DRV-01007,VEH-0040,HUB-CHI,2025-07-21T19:33:00,Delay event (severity 2) at Chicago.
INC-2025-00236,weather,3,SHP-202511-000418,RTE-CIN-20251027-001,DRV-01019,VEH-0025,HUB-CIN,2025-10-27T06:05:00,Weather event (severity 3) at Cincinnati.
INC-2025-00237,weather,1,SHP-202501-000251,RTE-CMH-20250808-003,DRV-01036,VEH-0031,HUB-CMH,2025-08-08T13:56:00,Weather event (severity 1) at Columbus.
INC-2025-00240,mispick,1,,RTE-DET-20250923-001,DRV-01037,VEH-0030,HUB-DET,2025-09-23T10:01:00,Mispick event (severity 1) at Detroit.
INC-2025-00241,mispick,1,SHP-202505-000063,,,,HUB-CMH,2025-06-26T17:08:00,Mispick event (severity 1) at Columbus.
INC-2025-00244,mispick,1,SHP-202503-000018,RTE-DET-20251121-003,DRV-01004,VEH-0011,HUB-DET,2025-11-21T14:40:00,Mispick event (severity 1) at Detroit.
INC-2025-00246,damage,1,,RTE-CIN-20250108-003,DRV-01029,VEH-0018,HUB-CIN,2025-01-08T08:57:00,Damage event (severity 1) at Cincinnati.
INC-2025-00247,damage,3,,,,,HUB-DET,2025-01-31T12:23:00,Damage event (severity 3) at Detroit.
INC-2025-00248,accident,1,,RTE-IND-20250103-002,DRV-01042,VEH-0017,HUB-IND,2025-01-03T18:56:00,Accident event (severity 1) at Indianapolis.
INC-2025-00250,accident,3,,,,VEH-0007,HUB-CMH,2025-08-13T16:14:00,Accident event (severity 3) at Columbus.
INC-2025-00251,delay,1,,RTE-IND-20250406-002,DRV-01006,VEH-0008,HUB-IND,2025-04-06T13:11:00,Delay event (severity 1) at Indianapolis.
INC-2025-00252,weather,1,SHP-202511-000036,RTE-IND-20251202-002,DRV-01032,,HUB-IND,2025-12-02T06:34:00,Weather event (severity 1) at Indianapolis.
INC-2025-00253,delay,2,SHP-202506-000292,,,,HUB-CMH,2025-10-24T09:40:00,Delay event (severity 2) at Columbus.
INC-2025-00254,damage,2,,RTE-CMH-20251217-003,,,HUB-CMH,2025-12-17T18:53:00,Damage event (severity 2) at Columbus.
INC-2025-00255,delay,1,SHP-202506-000086,RTE-DET-20250713-003,DRV-01037,VEH-0011,HUB-DET,2025-07-13T07:14:00,Delay event (severity 1) at Detroit.
INC-2025-00258,dispute,1,,,,,HUB-DET,2025-12-12T15:27:00,Dispute event (severity 1) at Detroit.
INC-2025-00259,delay,2,,,,,HUB-CMH,2025-11-07T14:50:00,Delay event (severity 2) at Columbus.
INC-2025-00260,delay,1,,,,,HUB-CIN,2025-11-13T09:58:00,Delay event (severity 1) at Cincinnati.
INC-2025-00417,accident,3,SHP-202501-900001,RTE-CHI-20250115-201,DRV-01017,VEH-0015,HUB-CHI,2025-01-15T08:40:00,"Jackknifed semi on an icy ramp near the Chicago hub; no injuries, load held."
INC-2025-02233,mispick,3,SHP-202505-950001,,,,HUB-IND,2025-05-13T10:15:00,Cluster of wrong-delivery errors traced to a mislabeled pick bin at the Indianapolis warehouse.
