thread_id,channel,participants,started_at,linked_ids,body
SLK-9016,#ops-chi,"@gordon, @alicia, @tina",2025-09-05T21:16:00,INC-2025-00229 RTE-CHI-20250905-002,"@gordon: heads up, seeing an issue tied to INC-2025-00229 at Chicago~~NL~~@alicia: is this the same thing from this morning?~~NL~~@gordon: route RTE-CHI-20250905-002, we may need to reassign~~NL~~@tina: let's get a report filed~~NL~~@gordon: ok tracking"
SLK-9017,#ops-cin,"@devon, @mcardenas, @hank",2025-06-08T15:16:00,INC-2025-00047 RTE-CMH-20250608-001,"@devon: heads up, seeing an issue tied to INC-2025-00047 at Columbus~~NL~~@mcardenas: on it. how many stops affected?~~NL~~@devon: route RTE-CMH-20250608-001, exceptions piling up~~NL~~@hank: let's get a report filed~~NL~~@devon: ok tracking"
SLK-9018,#fleet,"@gordon, @frank",2025-03-17T23:07:00,INC-2025-00081 RTE-CHI-20250317-001,"@gordon: heads up, seeing an issue tied to INC-2025-00081 at Chicago~~NL~~@frank: on it. how many stops affected?~~NL~~@gordon: route RTE-CHI-20250317-001, driver's holding for instructions~~NL~~@gordon: filed. see the incident record"
SLK-9019,#ops-cin,"@sandra, @curtis",2025-08-13T19:26:00,INC-2025-00250,"@sandra: heads up, seeing an issue tied to INC-2025-00250 at Columbus~~NL~~@curtis: on it. how many stops affected?~~NL~~@sandra: ok tracking"
SLK-9020,#ops-chi,"@sandra, @dana, @rhalvorsen",2025-11-01T15:24:00,INC-2025-00203,"@sandra: heads up, seeing an issue tied to INC-2025-00203 at Chicago~~NL~~@dana: who's the driver on this one~~NL~~@rhalvorsen: customer already asking~~NL~~@sandra: filed. see the incident record"
SLK-9021,#ops-chi,"@devon, @rhalvorsen, @tina",2025-11-21T21:52:00,INC-2025-00217 RTE-CHI-20251121-004,"@devon: heads up, seeing an issue tied to INC-2025-00217 at Chicago~~NL~~@rhalvorsen: ugh again? pulling the route now~~NL~~@devon: route RTE-CHI-20251121-004, driver's holding for instructions~~NL~~@tina: looping in ops lead~~NL~~@devon: filed. see the incident record"
SLK-9022,#ops-chi,"@alicia, @yolanda, @priya.n",2025-07-21T21:05:00,INC-2025-00176 RTE-CHI-20250721-002,"@alicia: heads up, seeing an issue tied to INC-2025-00176 at Chicago~~NL~~@yolanda: ugh again? pulling the route now~~NL~~@priya.n: k, I'll cover the reattempts~~NL~~@alicia: ok tracking"
SLK-9023,#fleet,"@sandra, @elaine",2025-05-02T14:00:00,INC-2025-00117 RTE-CIN-20250502-001,"@sandra: heads up, seeing an issue tied to INC-2025-00117 at Cincinnati~~NL~~@elaine: on it. how many stops affected?~~NL~~@sandra: route RTE-CIN-20250502-001, we may need to reassign~~NL~~@sandra: ok tracking"
SLK-9024,#ops-chi,"@devon, @sandra",2025-08-28T20:49:00,INC-2025-00196 RTE-CMH-20250828-001,"@devon: heads up, seeing an issue tied to INC-2025-00196 at Columbus~~NL~~@sandra: is this the same thing from this morning?~~NL~~@devon: ok tracking"
SLK-9025,#ops-chi,"@yolanda, @mcardenas, @curtis",2025-07-22T10:32:00,INC-2025-00085,"@yolanda: heads up, seeing an issue tied to INC-2025-00085 at Chicago~~NL~~@mcardenas: who's the driver on this one~~NL~~@curtis: let's get a report filed~~NL~~@yolanda: filed. see the incident record"
SLK-9026,#incident-response,"@mcardenas, @tina",2025-07-24T21:50:00,INC-2025-00180 RTE-CHI-20250724-001,"@mcardenas: heads up, seeing an issue tied to INC-2025-00180 at Chicago~~NL~~@tina: is this the same thing from this morning?~~NL~~@mcardenas: route RTE-CHI-20250724-001, driver's holding for instructions~~NL~~@mcardenas: thx. will update the thread"
SLK-9027,#fleet,"@alicia, @elaine, @tokafor, @marla",2025-07-21T21:33:00,INC-2025-00234 RTE-CHI-20250721-005,"@alicia: heads up, seeing an issue tied to INC-2025-00234 at Chicago~~NL~~@elaine: ugh again? pulling the route now~~NL~~@alicia: route RTE-CHI-20250721-005, we may need to reassign~~NL~~@tokafor: looping in ops lead~~NL~~@alicia: thx. will update the thread"
SLK-9028,#incident-response,"@rhalvorsen, @curtis, @gordon",2025-07-01T10:42:00,INC-2025-00101 RTE-CMH-20250701-001,"@rhalvorsen: heads up, seeing an issue tied to INC-2025-00101 at Columbus~~NL~~@curtis: is this the same thing from this morning?~~NL~~@rhalvorsen: route RTE-CMH-20250701-001, exceptions piling up~~NL~~@gordon: looping in ops lead~~NL~~@rhalvorsen: ok tracking"
SLK-9029,#ops-det,"@tokafor, @ray, @yolanda",2025-07-24T13:41:00,INC-2025-00167 RTE-DET-20250724-002,"@tokafor: heads up, seeing an issue tied to INC-2025-00167 at Detroit~~NL~~@ray: who's the driver on this one~~NL~~@tokafor: route RTE-DET-20250724-002, driver's holding for instructions~~NL~~@yolanda: let's get a report filed~~NL~~@tokafor: filed. see the incident record"
SLK-9030,#ops-ind,"@curtis, @frank",2025-08-12T18:02:00,INC-2025-00201 RTE-CIN-20250812-002,"@curtis: heads up, seeing an issue tied to INC-2025-00201 at Cincinnati~~NL~~@frank: is this the same thing from this morning?~~NL~~@curtis: route RTE-CIN-20250812-002, we may need to reassign~~NL~~@curtis: thx. will update the thread"
SLK-9031,#ops-chi,"@alicia, @marcus, @ray, @sandra",2025-12-17T19:24:00,INC-2025-00254 RTE-CMH-20251217-003,"@alicia: heads up, seeing an issue tied to INC-2025-00254 at Columbus~~NL~~@marcus: on it. how many stops affected?~~NL~~@alicia: route RTE-CMH-20251217-003, we may need to reassign~~NL~~@ray: k, I'll cover the reattempts~~NL~~@alicia: thx. will update the thread"
SLK-9032,#fleet,"@frank, @tokafor, @devon, @marcus",2025-07-21T21:25:00,INC-2025-00234 RTE-CHI-20250721-005,"@frank: heads up, seeing an issue tied to INC-2025-00234 at Chicago~~NL~~@tokafor: ugh again? pulling the route now~~NL~~@frank: route RTE-CHI-20250721-005, driver's holding for instructions~~NL~~@devon: k, I'll cover the reattempts~~NL~~@frank: thx. will update the thread"
SLK-9033,#fleet,"@frank, @alicia, @gordon",2025-10-10T07:34:00,INC-2025-00095 RTE-CMH-20251010-004,"@frank: heads up, seeing an issue tied to INC-2025-00095 at Columbus~~NL~~@alicia: is this the same thing from this morning?~~NL~~@gordon: let's get a report filed~~NL~~@frank: ok tracking"
SLK-9034,#ops-det,"@hank, @marla, @alicia",2025-01-15T11:20:00,INC-2025-00121 RTE-DET-20250115-003,"@hank: heads up, seeing an issue tied to INC-2025-00121 at Detroit~~NL~~@marla: on it. how many stops affected?~~NL~~@hank: route RTE-DET-20250115-003, driver's holding for instructions~~NL~~@alicia: let's get a report filed~~NL~~@hank: ok tracking"
SLK-9035,#ops-det,"@rhalvorsen, @gordon",2025-01-14T07:42:00,INC-2025-00087,"@rhalvorsen: heads up, seeing an issue tied to INC-2025-00087 at Detroit~~NL~~@gordon: who's the driver on this one~~NL~~@rhalvorsen: thx. will update the thread"
SLK-9036,#ops-cin,"@gordon, @curtis, @mcardenas, @dana",2025-08-12T18:25:00,INC-2025-00201 RTE-CIN-20250812-002,"@gordon: heads up, seeing an issue tied to INC-2025-00201 at Cincinnati~~NL~~@curtis: ugh again? pulling the route now~~NL~~@gordon: route RTE-CIN-20250812-002, exceptions piling up~~NL~~@mcardenas: customer already asking~~NL~~@gordon: filed. see the incident record"
SLK-9037,#ops-det,"@elaine, @rhalvorsen, @curtis, @dana",2025-02-21T14:22:00,INC-2025-00065,"@elaine: heads up, seeing an issue tied to INC-2025-00065 at Cincinnati~~NL~~@rhalvorsen: on it. how many stops affected?~~NL~~@curtis: looping in ops lead~~NL~~@elaine: thx. will update the thread"
SLK-9038,#ops-det,"@tina, @marla, @sandra, @gordon",2025-04-16T19:47:00,INC-2025-00204,"@tina: heads up, seeing an issue tied to INC-2025-00204 at Detroit~~NL~~@marla: ugh again? pulling the route now~~NL~~@sandra: k, I'll cover the reattempts~~NL~~@tina: filed. see the incident record"
SLK-9039,#ops-chi,"@hank, @marcus, @priya.n, @mcardenas",2025-05-23T18:55:00,INC-2025-00165 RTE-CHI-20250523-002,"@hank: heads up, seeing an issue tied to INC-2025-00165 at Chicago~~NL~~@marcus: who's the driver on this one~~NL~~@priya.n: looping in ops lead~~NL~~@hank: ok tracking"
SLK-9040,#dispatch,"@mcardenas, @ray, @rhalvorsen, @frank",2025-06-08T14:49:00,INC-2025-00047 RTE-CMH-20250608-001,"@mcardenas: heads up, seeing an issue tied to INC-2025-00047 at Columbus~~NL~~@ray: on it. how many stops affected?~~NL~~@mcardenas: route RTE-CMH-20250608-001, driver's holding for instructions~~NL~~@rhalvorsen: let's get a report filed~~NL~~@mcardenas: thx. will update the thread"
SLK-9041,#ops-cmh,"@priya.n, @gordon, @ray",2025-05-19T11:40:00,INC-2025-00052 RTE-CMH-20250519-003,"@priya.n: heads up, seeing an issue tied to INC-2025-00052 at Columbus~~NL~~@gordon: on it. how many stops affected?~~NL~~@priya.n: route RTE-CMH-20250519-003, driver's holding for instructions~~NL~~@ray: looping in ops lead~~NL~~@priya.n: thx. will update the thread"
SLK-9042,#ops-cmh,"@frank, @curtis, @rhalvorsen",2025-08-28T20:16:00,INC-2025-00196 RTE-CMH-20250828-001,"@frank: heads up, seeing an issue tied to INC-2025-00196 at Columbus~~NL~~@curtis: on it. how many stops affected?~~NL~~@rhalvorsen: looping in ops lead~~NL~~@frank: thx. will update the thread"
SLK-9043,#ops-cin,"@rhalvorsen, @marla, @curtis, @elaine",2025-05-02T21:13:00,INC-2025-00151 RTE-CHI-20250502-001,"@rhalvorsen: heads up, seeing an issue tied to INC-2025-00151 at Chicago~~NL~~@marla: ugh again? pulling the route now~~NL~~@rhalvorsen: route RTE-CHI-20250502-001, we may need to reassign~~NL~~@curtis: looping in ops lead~~NL~~@rhalvorsen: filed. see the incident record"
SLK-9044,#incident-response,"@ray, @priya.n, @marla",2025-04-25T17:08:00,INC-2025-00239 RTE-IND-20250425-001,"@ray: heads up, seeing an issue tied to INC-2025-00239 at Indianapolis~~NL~~@priya.n: ugh again? pulling the route now~~NL~~@ray: route RTE-IND-20250425-001, we may need to reassign~~NL~~@marla: customer already asking~~NL~~@ray: ok tracking"
SLK-9045,#fleet,"@rhalvorsen, @marcus, @frank",2025-03-05T22:53:00,INC-2025-00126,"@rhalvorsen: heads up, seeing an issue tied to INC-2025-00126 at Chicago~~NL~~@marcus: who's the driver on this one~~NL~~@frank: k, I'll cover the reattempts~~NL~~@rhalvorsen: filed. see the incident record"
SLK-9046,#ops-chi,"@priya.n, @elaine",2025-12-03T21:30:00,INC-2025-00186,"@priya.n: heads up, seeing an issue tied to INC-2025-00186 at Detroit~~NL~~@elaine: on it. how many stops affected?~~NL~~@priya.n: filed. see the incident record"
SLK-9047,#ops-ind,"@yolanda, @alicia",2025-01-09T16:31:00,INC-2025-00139 RTE-IND-20250109-002,"@yolanda: heads up, seeing an issue tied to INC-2025-00139 at Indianapolis~~NL~~@alicia: who's the driver on this one~~NL~~@yolanda: route RTE-IND-20250109-002, driver's holding for instructions~~NL~~@yolanda: ok tracking"
SLK-9048,#ops-det,"@mcardenas, @sam",2025-06-09T22:06:00,INC-2025-00061 RTE-IND-20250609-004,"@mcardenas: heads up, seeing an issue tied to INC-2025-00061 at Indianapolis~~NL~~@sam: on it. how many stops affected?~~NL~~@mcardenas: route RTE-IND-20250609-004, exceptions piling up~~NL~~@mcardenas: filed. see the incident record"
SLK-9049,#ops-chi,"@tokafor, @sam, @gordon, @marla",2025-05-02T12:46:00,INC-2025-00117 RTE-CIN-20250502-001,"@tokafor: heads up, seeing an issue tied to INC-2025-00117 at Cincinnati~~NL~~@sam: ugh again? pulling the route now~~NL~~@gordon: k, I'll cover the reattempts~~NL~~@tokafor: thx. will update the thread"
SLK-99001,#ops-chi,"@gordon, @marla, @tokafor, @marcus",2025-01-15T09:05:00,INC-2025-00417 RTE-CHI-20250115-201,"@marla: storm's bad. we've got ~24 CHI routes with heavy exceptions this morning~~NL~~@gordon: just heard a semi jackknifed on the ramp — that's INC-2025-00417. everyone ok?~~NL~~@tokafor: driver's fine, unit's not. recovery en route, I'll open the work order~~NL~~@marla: holding remaining routes. RTE-CHI-20250115-201 is the one that went down~~NL~~@marcus: Jaffle Equipment already called. their freight is in this batch. going to be a credit conversation~~NL~~@gordon: file the incident report today. let's get ahead of the tickets"
SLK-99010,#accounts,"@marcus, @elaine, @dana",2025-07-18T11:00:00,CLI-0042,"@marcus: getting worried about Jaffle Equipment (CLI-0042). on-time's been sliding since the Q2 QBR and tickets are up~~NL~~@elaine: is it a CHI capacity thing or something systemic?~~NL~~@marcus: bit of both. moving them to watch. going to need a real plan before Q3~~NL~~@dana: strategic account, let's not let this become a churn story"
SLK-99011,#accounts,"@marcus, @dana, @gordon",2025-10-15T15:30:00,CLI-0042,"@marcus: Jaffle Equipment (CLI-0042) is officially at-risk. they're evaluating alternatives~~NL~~@dana: ok this is a retention fire drill. save plan written?~~NL~~@marcus: yes, CRM-9030. dedicated CHI capacity + weekly scorecard + exec sponsor~~NL~~@gordon: ops will support the dedicated capacity for peak. let's not lose them"
SLK-99020,#ops-ind,"@alicia, @priya.n, @sandra",2025-05-13T10:40:00,INC-2025-02233,"@sandra: getting multiple 'wrong item' tickets out of IND this morning~~NL~~@alicia: yeah it's a pattern, opening INC-2025-02233. smells like a bin issue~~NL~~@priya.n: confirmed — bin label doesn't match WMS. several orders pulled from it~~NL~~@alicia: freeze that bin, scan-to-confirm going forward. postmortem friday"
SLK-99030,#legal,"@sackerman, @kellsworth, @frank",2025-09-09T10:00:00,DRV-01188 LGL-9002,"@kellsworth: deactivated DRV-01188 for cause. he's disputing the 08/21 no-show~~NL~~@frank: dispatch log for that day says he CALLED IN a mechanical and waited for a callback. that contradicts our written warning~~NL~~@sackerman: that's the problem — HR-9301 says no-call/no-show, DN-900002 says he notified the hub. we need to reconcile before this goes anywhere~~NL~~@kellsworth: driver agreement LGL-9002 covers termination for cause, but the conflicting record weakens it. let's get the phone logs"
SLK-99040,#dispatch,"@gordon, @marla, @alicia, @frank, @yolanda",2025-11-24T08:30:00,HUB-CHI HUB-IND HUB-DET HUB-CIN HUB-CMH,"@gordon: peak is here. volume's up ~40% network-wide vs baseline, exceptions climbing everywhere~~NL~~@marla: CHI is slammed, watching the weather too — do NOT want a repeat of January~~NL~~@alicia: IND holding up post-mispick fix. scan-to-confirm is slowing us slightly but accuracy's good~~NL~~@frank: fleet's stretched, PMs deferred where safe. flag anything unsafe~~NL~~@yolanda: overlap risk with the Jaffle Equipment save plan — they get dedicated CHI capacity, protect it"
