hr_doc_id,driver_id,doc_type,created_at,author,body
HR-6011,DRV-01012,onboarding,2022-07-28,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01012 (contractor), home hub HUB-CHI.
Hire date 2022-07-26. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6012,DRV-01013,onboarding,2021-12-23,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01013 (contractor), home hub HUB-CMH.
Hire date 2021-12-22. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6013,DRV-01014,onboarding,2018-08-10,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01014 (contractor), home hub HUB-DET.
Hire date 2018-08-10. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6014,DRV-01015,onboarding,2021-10-24,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01015 (employee), home hub HUB-CMH.
Hire date 2021-10-21. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6015,DRV-01016,onboarding,2020-02-21,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01016 (employee), home hub HUB-CMH.
Hire date 2020-02-19. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6016,DRV-01017,onboarding,2021-02-14,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01017 (employee), home hub HUB-CHI.
Hire date 2021-02-14. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6017,DRV-01018,onboarding,2024-03-07,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01018 (employee), home hub HUB-CMH.
Hire date 2024-03-04. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6018,DRV-01019,onboarding,2019-01-22,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01019 (contractor), home hub HUB-CIN.
Hire date 2019-01-18. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6019,DRV-01020,onboarding,2023-06-17,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01020 (employee), home hub HUB-CHI.
Hire date 2023-06-13. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6020,DRV-01021,onboarding,2019-11-07,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01021 (contractor), home hub HUB-DET.
Hire date 2019-11-06. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6021,DRV-01022,onboarding,2023-02-07,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01022 (employee), home hub HUB-DET.
Hire date 2023-02-07. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6022,DRV-01023,onboarding,2023-06-17,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01023 (contractor), home hub HUB-CIN.
Hire date 2023-06-17. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6023,DRV-01024,onboarding,2018-09-01,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01024 (employee), home hub HUB-IND.
Hire date 2018-08-28. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6024,DRV-01025,onboarding,2021-07-11,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01025 (employee), home hub HUB-CIN.
Hire date 2021-07-08. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6025,DRV-01026,onboarding,2023-12-17,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01026 (employee), home hub HUB-CIN.
Hire date 2023-12-16. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6026,DRV-01027,onboarding,2020-02-01,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01027 (employee), home hub HUB-CIN.
Hire date 2020-02-01. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6027,DRV-01028,onboarding,2020-08-25,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01028 (contractor), home hub HUB-CMH.
Hire date 2020-08-21. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6028,DRV-01029,onboarding,2024-09-03,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01029 (employee), home hub HUB-CIN.
Hire date 2024-09-01. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6029,DRV-01030,onboarding,2024-07-18,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01030 (employee), home hub HUB-CMH.
Hire date 2024-07-18. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6030,DRV-01031,onboarding,2020-04-19,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01031 (contractor), home hub HUB-IND.
Hire date 2020-04-16. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6031,DRV-01032,onboarding,2022-06-13,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01032 (employee), home hub HUB-IND.
Hire date 2022-06-10. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6032,DRV-01033,onboarding,2018-10-27,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01033 (employee), home hub HUB-IND.
Hire date 2018-10-25. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6033,DRV-01034,onboarding,2019-02-16,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01034 (contractor), home hub HUB-CIN.
Hire date 2019-02-14. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6034,DRV-01035,onboarding,2019-06-30,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01035 (employee), home hub HUB-CHI.
Hire date 2019-06-27. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6035,DRV-01036,onboarding,2022-02-26,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01036 (contractor), home hub HUB-CMH.
Hire date 2022-02-22. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6036,DRV-01037,onboarding,2021-05-27,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01037 (contractor), home hub HUB-DET.
Hire date 2021-05-24. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6037,DRV-01038,onboarding,2024-03-21,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01038 (employee), home hub HUB-CIN.
Hire date 2024-03-21. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6038,DRV-01039,onboarding,2019-07-07,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01039 (contractor), home hub HUB-CMH.
Hire date 2019-07-05. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6039,DRV-01040,onboarding,2019-10-02,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01040 (contractor), home hub HUB-CMH.
Hire date 2019-09-29. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6040,DRV-01041,onboarding,2021-11-10,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01041 (employee), home hub HUB-CIN.
Hire date 2021-11-05. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6041,DRV-01042,onboarding,2020-10-27,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01042 (employee), home hub HUB-IND.
Hire date 2020-10-25. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6042,DRV-01043,onboarding,2022-10-01,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01043 (employee), home hub HUB-CMH.
Hire date 2022-10-01. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6043,DRV-01044,onboarding,2019-06-21,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01044 (employee), home hub HUB-CMH.
Hire date 2019-06-20. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6044,DRV-01045,onboarding,2022-12-15,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01045 (employee), home hub HUB-IND.
Hire date 2022-12-15. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6045,DRV-01046,onboarding,2019-04-04,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01046 (employee), home hub HUB-DET.
Hire date 2019-04-04. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6046,DRV-01047,onboarding,2022-02-26,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01047 (employee), home hub HUB-CHI.
Hire date 2022-02-21. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6047,DRV-01048,onboarding,2018-06-24,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01048 (employee), home hub HUB-CHI.
Hire date 2018-06-21. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6048,DRV-01049,onboarding,2020-05-11,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01049 (contractor), home hub HUB-CMH.
Hire date 2020-05-10. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6049,DRV-01188,onboarding,2022-06-14,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01188 (contractor), home hub HUB-IND.
Hire date 2022-06-13. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6050,DRV-01047,disciplinary,2025-09-01,D. Marchetti (People Ops),DISCIPLINARY NOTE — driver DRV-01047 (employee). Coaching session logged regarding POD compliance. Acknowledged and filed by D. Marchetti (People Ops) on 2025-09-01.
HR-6051,DRV-01004,disciplinary,2025-01-04,D. Marchetti (People Ops),DISCIPLINARY NOTE — driver DRV-01004 (contractor). Verbal warning for repeated late starts. Acknowledged and filed by D. Marchetti (People Ops) on 2025-01-04.
HR-6052,DRV-01020,training,2025-12-20,K. Ellsworth (People Ops),TRAINING RECORD — driver DRV-01020. Completed customer service basics on 2025-12-20. Filed by K. Ellsworth (People Ops).
HR-6053,DRV-01018,training,2025-03-19,R. Sandoval (People Ops),TRAINING RECORD — driver DRV-01018. Completed customer service basics on 2025-03-19. Filed by R. Sandoval (People Ops).
HR-6054,DRV-01008,training,2025-03-25,K. Ellsworth (People Ops),TRAINING RECORD — driver DRV-01008. Completed customer service basics on 2025-03-25. Filed by K. Ellsworth (People Ops).
HR-6055,DRV-01041,training,2025-09-17,D. Marchetti (People Ops),TRAINING RECORD — driver DRV-01041. Completed winter operations module on 2025-09-17. Filed by D. Marchetti (People Ops).
HR-6056,DRV-01037,training,2025-05-11,D. Marchetti (People Ops),TRAINING RECORD — driver DRV-01037. Completed customer service basics on 2025-05-11. Filed by D. Marchetti (People Ops).
HR-6057,DRV-01015,training,2025-05-23,K. Ellsworth (People Ops),TRAINING RECORD — driver DRV-01015. Completed defensive driving refresher on 2025-05-23. Filed by K. Ellsworth (People Ops).
HR-6058,DRV-01023,disciplinary,2025-04-22,R. Sandoval (People Ops),DISCIPLINARY NOTE — driver DRV-01023 (contractor). Coaching session logged regarding POD compliance. Acknowledged and filed by R. Sandoval (People Ops) on 2025-04-22.
HR-6059,DRV-01048,training,2025-02-16,K. Ellsworth (People Ops),TRAINING RECORD — driver DRV-01048. Completed defensive driving refresher on 2025-02-16. Filed by K. Ellsworth (People Ops).
HR-9200,DRV-01006,training,2025-05-20,D. Marchetti (People Ops),TRAINING RECORD — DRV-01006. Completed the new scan-to-confirm bin verification process rolled out after the Indianapolis mispick (INC-2025-02233). Acknowledged mandatory scan at pick and the no-override rule.
HR-9201,DRV-01024,training,2025-05-20,D. Marchetti (People Ops),TRAINING RECORD — DRV-01024. Completed the new scan-to-confirm bin verification process rolled out after the Indianapolis mispick (INC-2025-02233). Acknowledged mandatory scan at pick and the no-override rule.
HR-9300,DRV-01188,disciplinary,2025-08-15,K. Ellsworth (People Ops),DISCIPLINARY NOTE — DRV-01188 (contractor). Verbal warning issued for incomplete routes and repeated in-window failures. Driver acknowledged.
HR-9301,DRV-01188,disciplinary,2025-08-22,K. Ellsworth (People Ops),"DISCIPLINARY NOTE — DRV-01188 (contractor). Written warning. Recorded as a NO-CALL/NO-SHOW on 08/21: 12 stops missed, driver did not notify dispatch and was unreachable during the service window. Second incident in one week."
HR-9302,DRV-01188,disciplinary,2025-09-08,R. Sandoval (People Ops),"DEACTIVATION NOTICE — DRV-01188 (contractor). Following repeated route failures and the 08/21 no-call/no-show, the contractor relationship is deactivated for cause per the driver agreement. Driver disputes the 08/21 characterization, stating he reported a mechanical issue and was told to stand by."
