ticket_id,client_id,shipment_id,opened_at,channel,status,csat,body
TKT-200005,CLI-0201,SHP-202510-000078,2025-10-16T00:27:00,phone,resolved,5,"[customer] Good morning! Quick question on SHP-202510-000078, currently failed. No rush, just planning around it.
[agent.jbrooks] Apologies for the delay on SHP-202510-000078. I've opened an investigation and looped in the Indianapolis operations team."
TKT-200100,CLI-0201,SHP-202508-000084,2025-08-29T22:23:00,phone,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202508-000084 if it hasn't gone out yet.
[agent.lchen] Attached the POD for SHP-202508-000084. Let me know if there's anything else!
[customer] Great, appreciate it."
TKT-200281,CLI-0007,SHP-202503-000041,2025-04-02T23:00:00,portal,resolved,5,"[customer] Can you confirm SHP-202503-000041 is still on track to arrive this week?
[agent.lchen] Happy to help — SHP-202503-000041 is on schedule out of our Cincinnati hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200257,CLI-0007,SHP-202507-000089,2025-07-16T18:07:00,phone,resolved,5,"[customer] Hi — quick question on SHP-202507-000089. Can you confirm the delivery window?
[agent.dfoster] Attached the POD for SHP-202507-000089. Let me know if there's anything else!
[customer] Thanks for the quick help."
TKT-200284,CLI-0169,SHP-202509-000183,2025-09-15T21:34:00,chat,resolved,5,"[customer] Hi — quick question on SHP-202509-000183. Can you confirm the delivery window?
[agent.lchen] Happy to help — SHP-202509-000183 is on schedule out of our Cincinnati hub; delivery is within the next 1–2 business days.
[customer] Thanks for the quick help."
TKT-200131,CLI-0042,SHP-202512-000311,2025-12-22T21:47:00,chat,resolved,5,"[customer] Can you confirm SHP-202512-000311 is still on track to arrive this week?
[agent.tpatel] Sure thing. I've noted the update on SHP-202512-000311 and confirmed it with the Cincinnati team.
[customer] Thanks for the quick help."
TKT-200210,CLI-0201,SHP-202504-000029,2025-04-24T19:09:00,phone,resolved,4,"[customer] Following up on SHP-202504-000029 — could you send the POD once it's delivered? Accounting needs it.
[agent.dfoster] Happy to help — SHP-202504-000029 is on schedule out of our Cincinnati hub; delivery is within the next 1–2 business days.
[customer] Perfect, thank you!"
TKT-200142,CLI-0042,SHP-202509-000070,2025-09-03T12:35:00,phone,resolved,5,"[customer] Following up on SHP-202509-000070 — could you send the POD once it's delivered? Accounting needs it.
[agent.tpatel] Happy to help — SHP-202509-000070 is on schedule out of our Chicago hub; delivery is within the next 1–2 business days.
[customer] Thanks for the quick help."
TKT-200214,CLI-0007,SHP-202512-000297,2025-12-24T09:26:00,email,resolved,4,"[customer] Can you confirm SHP-202512-000297 is still on track to arrive this week?
[agent.kobrien] Attached the POD for SHP-202512-000297. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200030,CLI-0201,SHP-202504-000023,2025-04-10T20:12:00,email,pending,,"[customer] This is the second time I'm reaching out about SHP-202504-000023. It was due days ago and I still have nothing. This is unacceptable for the rates we pay.
[agent.lchen] Apologies for the delay on SHP-202504-000023. I've opened an investigation and looped in the Columbus operations team.
[agent.lchen] Good news — SHP-202504-000023 is back in motion. I'll monitor it through delivery and confirm the POD with you."
TKT-200247,CLI-0201,SHP-202506-000193,2025-06-08T22:33:00,email,resolved,5,"[customer] Can you confirm SHP-202506-000193 is still on track to arrive this week?
[agent.tpatel] Attached the POD for SHP-202506-000193. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200218,CLI-0155,SHP-202512-000293,2025-12-23T16:02:00,chat,resolved,5,"[customer] Can you confirm SHP-202512-000293 is still on track to arrive this week?
[agent.lchen] Attached the POD for SHP-202512-000293. Let me know if there's anything else!
[customer] Thanks for the quick help."
TKT-200118,CLI-0169,SHP-202506-000095,2025-06-09T18:29:00,portal,resolved,5,"[customer] Can you confirm SHP-202506-000095 is still on track to arrive this week?
[agent.kobrien] Happy to help — SHP-202506-000095 is on schedule out of our Indianapolis hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200045,CLI-0169,SHP-202512-000341,2025-12-13T17:12:00,portal,resolved,2,"[customer] Requesting an update on SHP-202512-000341. It appears to be delayed.
[agent.tpatel] Apologies for the delay on SHP-202512-000341. I've opened an investigation and looped in the Chicago operations team.
[agent.tpatel] Dispatch confirms SHP-202512-000341 will be reattempted next business day. I've flagged your account for a proactive follow-up."
TKT-200055,CLI-0201,SHP-202508-000134,2025-08-06T18:16:00,email,resolved,3,"[customer] Good morning! Quick question on SHP-202508-000134, currently delayed. No rush, just planning around it.
[agent.mruiz] Thanks for reaching out — I'm sorry for the trouble with SHP-202508-000134. I see it was affected by an exception at our Chicago hub. Let me pull the latest.
[agent.mruiz] Good news — SHP-202508-000134 is back in motion. I'll monitor it through delivery and confirm the POD with you."
TKT-200227,CLI-0042,SHP-202502-000168,2025-02-04T20:40:00,phone,resolved,5,"[customer] Hi — quick question on SHP-202502-000168. Can you confirm the delivery window?
[agent.jbrooks] Sure thing. I've noted the update on SHP-202502-000168 and confirmed it with the Cincinnati team.
[customer] Perfect, thank you!"
TKT-200012,CLI-0169,SHP-202511-000108,2025-11-12T20:30:00,phone,resolved,3,"[customer] Following up on SHP-202511-000108. Could you confirm whether this will still be delivered this week?
[agent.lchen] Thank you for your patience. I've located SHP-202511-000108 in our system (origin HUB-DET). Checking with dispatch now.
[agent.lchen] Update: SHP-202511-000108 is re-routed and expected to deliver within 48 hours. I've added a note to prioritize it. Anything else I can do?"
TKT-200272,CLI-0169,SHP-202508-000254,2025-08-09T17:49:00,chat,resolved,5,"[customer] Following up on SHP-202508-000254 — could you send the POD once it's delivered? Accounting needs it.
[agent.dfoster] Happy to help — SHP-202508-000254 is on schedule out of our Indianapolis hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200024,CLI-0007,SHP-202503-000194,2025-03-17T16:54:00,phone,resolved,1,"[customer] Where is SHP-202503-000194?? Your tracking hasn't updated and my customer is furious. I need answers today.
[agent.mruiz] Apologies for the delay on SHP-202503-000194. I've opened an investigation and looped in the Detroit operations team.
[customer] That still isn't good enough but I'll wait for the update."
TKT-200199,CLI-0201,SHP-202501-000108,2025-01-27T15:37:00,email,resolved,5,"[customer] Hi — quick question on SHP-202501-000108. Can you confirm the delivery window?
[agent.jbrooks] Happy to help — SHP-202501-000108 is on schedule out of our Chicago hub; delivery is within the next 1–2 business days.
[customer] Thanks for the quick help."
TKT-200180,CLI-0042,SHP-202506-000287,2025-06-21T17:52:00,chat,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202506-000287 if it hasn't gone out yet.
[agent.jbrooks] Attached the POD for SHP-202506-000287. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200285,CLI-0042,SHP-202503-000257,2025-03-12T15:55:00,chat,resolved,5,"[customer] Following up on SHP-202503-000257 — could you send the POD once it's delivered? Accounting needs it.
[agent.dfoster] Sure thing. I've noted the update on SHP-202503-000257 and confirmed it with the Indianapolis team.
[customer] Great, appreciate it."
TKT-200134,CLI-0201,SHP-202507-000047,2025-07-10T23:34:00,chat,resolved,5,"[customer] Can you confirm SHP-202507-000047 is still on track to arrive this week?
[agent.mruiz] Sure thing. I've noted the update on SHP-202507-000047 and confirmed it with the Indianapolis team.
[customer] Thanks for the quick help."
TKT-200070,CLI-0169,SHP-202509-000058,2025-09-18T22:02:00,portal,resolved,2,"[customer] This is the second time I'm reaching out about SHP-202509-000058. It was due days ago and I still have nothing. This is unacceptable for the rates we pay.
[agent.mruiz] Thanks for reaching out — I'm sorry for the trouble with SHP-202509-000058. I see it was affected by an exception at our Cincinnati hub. Let me pull the latest.
[agent.mruiz] Update: SHP-202509-000058 is re-routed and expected to deliver within 48 hours. I've added a note to prioritize it. Anything else I can do?"
TKT-200038,CLI-0201,SHP-202512-000008,2025-12-27T12:19:00,phone,resolved,3,"[customer] Hello, hoping you can help with SHP-202512-000008. I understand there may be delays — just need an updated delivery window when you have a moment. Thanks!
[agent.lchen] Thank you for your patience. I've located SHP-202512-000008 in our system (origin HUB-CMH). Checking with dispatch now.
[agent.lchen] Dispatch confirms SHP-202512-000008 will be reattempted next business day. I've flagged your account for a proactive follow-up."
TKT-200050,CLI-0155,SHP-202501-000062,2025-01-11T17:56:00,email,resolved,3,"[customer] Hi, I'm checking on shipment SHP-202501-000062. The status shows delayed — can you tell me the latest ETA?
[agent.mruiz] Thanks for reaching out — I'm sorry for the trouble with SHP-202501-000062. I see it was affected by an exception at our Indianapolis hub. Let me pull the latest.
[agent.mruiz] Update: SHP-202501-000062 is re-routed and expected to deliver within 48 hours. I've added a note to prioritize it. Anything else I can do?"
TKT-200271,CLI-0169,SHP-202508-000282,2025-08-29T19:11:00,phone,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202508-000282 if it hasn't gone out yet.
[agent.tpatel] Attached the POD for SHP-202508-000282. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200150,CLI-0201,SHP-202512-000176,2025-12-18T23:24:00,chat,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202512-000176 if it hasn't gone out yet.
[agent.jbrooks] Happy to help — SHP-202512-000176 is on schedule out of our Columbus hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200274,CLI-0155,SHP-202504-000137,2025-04-29T23:03:00,phone,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202504-000137 if it hasn't gone out yet.
[agent.jbrooks] Attached the POD for SHP-202504-000137. Let me know if there's anything else!
[customer] Thanks for the quick help."
TKT-200130,CLI-0201,SHP-202507-000234,2025-07-15T15:35:00,portal,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202507-000234 if it hasn't gone out yet.
[agent.mruiz] Happy to help — SHP-202507-000234 is on schedule out of our Chicago hub; delivery is within the next 1–2 business days.
[customer] Thanks for the quick help."
TKT-200159,CLI-0042,SHP-202506-000261,2025-06-21T11:56:00,phone,resolved,4,"[customer] Hello, I need to update the delivery contact for SHP-202506-000261 if it hasn't gone out yet.
[agent.jbrooks] Happy to help — SHP-202506-000261 is on schedule out of our Columbus hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200194,CLI-0042,SHP-202503-000119,2025-03-05T14:54:00,email,resolved,5,"[customer] Hi — quick question on SHP-202503-000119. Can you confirm the delivery window?
[agent.kobrien] Happy to help — SHP-202503-000119 is on schedule out of our Indianapolis hub; delivery is within the next 1–2 business days.
[customer] Perfect, thank you!"
TKT-200090,CLI-0007,SHP-202512-000381,2025-12-21T22:05:00,email,resolved,4,"[customer] Hi — quick question on SHP-202512-000381. Can you confirm the delivery window?
[agent.kobrien] Sure thing. I've noted the update on SHP-202512-000381 and confirmed it with the Columbus team.
[customer] Perfect, thank you!"
TKT-200064,CLI-0042,SHP-202502-000091,2025-02-08T21:33:00,chat,open,,"[customer] This is the second time I'm reaching out about SHP-202502-000091. It was due days ago and I still have nothing. This is unacceptable for the rates we pay.
[agent.lchen] Apologies for the delay on SHP-202502-000091. I've opened an investigation and looped in the Detroit operations team.
[agent.lchen] Update: SHP-202502-000091 is re-routed and expected to deliver within 48 hours. I've added a note to prioritize it. Anything else I can do?
[customer] That still isn't good enough but I'll wait for the update."
TKT-200126,CLI-0007,SHP-202512-000394,2025-12-05T20:47:00,phone,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202512-000394 if it hasn't gone out yet.
[agent.jbrooks] Attached the POD for SHP-202512-000394. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200228,CLI-0169,SHP-202501-000177,2025-01-03T17:06:00,chat,resolved,4,"[customer] Following up on SHP-202501-000177 — could you send the POD once it's delivered? Accounting needs it.
[agent.mruiz] Attached the POD for SHP-202501-000177. Let me know if there's anything else!
[customer] Thanks for the quick help."
TKT-200135,CLI-0042,SHP-202506-000152,2025-06-09T20:26:00,phone,resolved,5,"[customer] Following up on SHP-202506-000152 — could you send the POD once it's delivered? Accounting needs it.
[agent.jbrooks] Attached the POD for SHP-202506-000152. Let me know if there's anything else!
[customer] Thanks for the quick help."
TKT-200095,CLI-0042,SHP-202502-000246,2025-02-27T17:54:00,chat,resolved,5,"[customer] Following up on SHP-202502-000246 — could you send the POD once it's delivered? Accounting needs it.
[agent.jbrooks] Sure thing. I've noted the update on SHP-202502-000246 and confirmed it with the Chicago team.
[customer] Great, appreciate it."
TKT-200149,CLI-0007,SHP-202504-000017,2025-04-04T11:39:00,portal,resolved,4,"[customer] Following up on SHP-202504-000017 — could you send the POD once it's delivered? Accounting needs it.
[agent.kobrien] Happy to help — SHP-202504-000017 is on schedule out of our Cincinnati hub; delivery is within the next 1–2 business days.
[customer] Thanks for the quick help."
TKT-200063,CLI-0169,SHP-202501-000310,2025-01-15T07:49:00,email,resolved,3,"[customer] Requesting an update on SHP-202501-000310. It appears to be delayed.
[agent.mruiz] Thank you for your patience. I've located SHP-202501-000310 in our system (origin HUB-IND). Checking with dispatch now."
TKT-200298,CLI-0201,SHP-202507-000101,2025-07-03T22:35:00,email,resolved,5,"[customer] Following up on SHP-202507-000101 — could you send the POD once it's delivered? Accounting needs it.
[agent.lchen] Sure thing. I've noted the update on SHP-202507-000101 and confirmed it with the Detroit team.
[customer] Great, appreciate it."
TKT-200104,CLI-0007,SHP-202511-000052,2025-11-03T11:43:00,chat,resolved,5,"[customer] Can you confirm SHP-202511-000052 is still on track to arrive this week?
[agent.mruiz] Attached the POD for SHP-202511-000052. Let me know if there's anything else!
[customer] Great, appreciate it."
TKT-200018,CLI-0169,SHP-202501-000308,2025-01-05T15:53:00,email,resolved,1,"[customer] Extremely disappointed. SHP-202501-000308 was marked delayed with zero communication. Please escalate.
[agent.tpatel] Apologies for the delay on SHP-202501-000308. I've opened an investigation and looped in the Indianapolis operations team."
TKT-200040,CLI-0201,SHP-202508-000026,2025-09-01T22:41:00,chat,open,,"[customer] This is the second time I'm reaching out about SHP-202508-000026. It was due days ago and I still have nothing. This is unacceptable for the rates we pay.
[agent.tpatel] Thanks for reaching out — I'm sorry for the trouble with SHP-202508-000026. I see it was affected by an exception at our Chicago hub. Let me pull the latest."
TKT-200117,CLI-0042,SHP-202505-000270,2025-05-15T20:15:00,phone,resolved,5,"[customer] Following up on SHP-202505-000270 — could you send the POD once it's delivered? Accounting needs it.
[agent.tpatel] Sure thing. I've noted the update on SHP-202505-000270 and confirmed it with the Detroit team.
[customer] Perfect, thank you!"
TKT-200144,CLI-0169,SHP-202503-000032,2025-03-23T23:40:00,portal,resolved,5,"[customer] Can you confirm SHP-202503-000032 is still on track to arrive this week?
[agent.mruiz] Happy to help — SHP-202503-000032 is on schedule out of our Cincinnati hub; delivery is within the next 1–2 business days.
[customer] Perfect, thank you!"
TKT-200093,CLI-0155,SHP-202512-000187,2025-12-03T10:51:00,chat,resolved,4,"[customer] Can you confirm SHP-202512-000187 is still on track to arrive this week?
[agent.kobrien] Happy to help — SHP-202512-000187 is on schedule out of our Indianapolis hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200081,CLI-0169,SHP-202501-000070,2025-01-16T19:15:00,portal,resolved,4,"[customer] Following up on SHP-202501-000070. Could you confirm whether this will still be delivered this week?
[agent.dfoster] Apologies for the delay on SHP-202501-000070. I've opened an investigation and looped in the Indianapolis operations team.
[agent.dfoster] Update: SHP-202501-000070 is re-routed and expected to deliver within 48 hours. I've added a note to prioritize it. Anything else I can do?
[customer] Okay, thank you. Please keep me posted."
TKT-200099,CLI-0155,SHP-202509-000184,2025-09-04T19:30:00,portal,resolved,4,"[customer] Hi — quick question on SHP-202509-000184. Can you confirm the delivery window?
[agent.tpatel] Sure thing. I've noted the update on SHP-202509-000184 and confirmed it with the Detroit team.
[customer] Great, appreciate it."
TKT-200137,CLI-0042,SHP-202510-000152,2025-10-27T07:52:00,phone,resolved,5,"[customer] Following up on SHP-202510-000152 — could you send the POD once it's delivered? Accounting needs it.
[agent.jbrooks] Sure thing. I've noted the update on SHP-202510-000152 and confirmed it with the Cincinnati team.
[customer] Thanks for the quick help."
TKT-200299,CLI-0201,SHP-202503-000289,2025-03-20T18:42:00,chat,resolved,4,"[customer] Hi — quick question on SHP-202503-000289. Can you confirm the delivery window?
[agent.mruiz] Sure thing. I've noted the update on SHP-202503-000289 and confirmed it with the Detroit team.
[customer] Perfect, thank you!"
TKT-200079,CLI-0201,SHP-202505-000205,2025-05-05T16:54:00,phone,resolved,4,"[customer] Requesting an update on SHP-202505-000205. It appears to be delayed.
[agent.mruiz] Apologies for the delay on SHP-202505-000205. I've opened an investigation and looped in the Detroit operations team.
[agent.mruiz] Update: SHP-202505-000205 is re-routed and expected to deliver within 48 hours. I've added a note to prioritize it. Anything else I can do?
[customer] Okay, thank you. Please keep me posted."
TKT-200252,CLI-0042,SHP-202507-000231,2025-07-28T17:04:00,chat,resolved,4,"[customer] Can you confirm SHP-202507-000231 is still on track to arrive this week?
[agent.lchen] Happy to help — SHP-202507-000231 is on schedule out of our Columbus hub; delivery is within the next 1–2 business days.
[customer] Perfect, thank you!"
TKT-200160,CLI-0201,SHP-202512-000352,2025-12-05T02:31:00,email,resolved,5,"[customer] Following up on SHP-202512-000352 — could you send the POD once it's delivered? Accounting needs it.
[agent.jbrooks] Sure thing. I've noted the update on SHP-202512-000352 and confirmed it with the Chicago team.
[customer] Thanks for the quick help."
TKT-200282,CLI-0042,SHP-202504-000002,2025-04-13T21:39:00,portal,resolved,5,"[customer] Hello, I need to update the delivery contact for SHP-202504-000002 if it hasn't gone out yet.
[agent.lchen] Sure thing. I've noted the update on SHP-202504-000002 and confirmed it with the Chicago team.
[customer] Great, appreciate it."
TKT-200094,CLI-0169,SHP-202501-000135,2025-01-17T09:53:00,portal,resolved,4,"[customer] Hello, I need to update the delivery contact for SHP-202501-000135 if it hasn't gone out yet.
[agent.jbrooks] Happy to help — SHP-202501-000135 is on schedule out of our Detroit hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200213,CLI-0169,SHP-202503-000244,2025-03-22T17:18:00,chat,resolved,5,"[customer] Following up on SHP-202503-000244 — could you send the POD once it's delivered? Accounting needs it.
[agent.lchen] Sure thing. I've noted the update on SHP-202503-000244 and confirmed it with the Columbus team.
[customer] Perfect, thank you!"
TKT-200152,CLI-0042,SHP-202502-000245,2025-02-26T13:21:00,email,resolved,4,"[customer] Hello, I need to update the delivery contact for SHP-202502-000245 if it hasn't gone out yet.
[agent.lchen] Attached the POD for SHP-202502-000245. Let me know if there's anything else!
[customer] Great, appreciate it."
TKT-200028,CLI-0201,SHP-202501-000260,2025-01-12T17:50:00,chat,resolved,3,"[customer] Requesting an update on SHP-202501-000260. It appears to be delayed.
[agent.jbrooks] Thanks for reaching out — I'm sorry for the trouble with SHP-202501-000260. I see it was affected by an exception at our Detroit hub. Let me pull the latest.
[agent.jbrooks] Dispatch confirms SHP-202501-000260 will be reattempted next business day. I've flagged your account for a proactive follow-up."
TKT-200074,CLI-0169,SHP-202502-000184,2025-02-06T21:01:00,chat,pending,,"[customer] Extremely disappointed. SHP-202502-000184 was marked returned with zero communication. Please escalate.
[agent.dfoster] Thanks for reaching out — I'm sorry for the trouble with SHP-202502-000184. I see it was affected by an exception at our Columbus hub. Let me pull the latest."
TKT-200153,CLI-0169,SHP-202505-000076,2025-05-10T09:18:00,chat,resolved,5,"[customer] Can you confirm SHP-202505-000076 is still on track to arrive this week?
[agent.jbrooks] Sure thing. I've noted the update on SHP-202505-000076 and confirmed it with the Columbus team.
[customer] Thanks for the quick help."
TKT-200147,CLI-0155,SHP-202508-000078,2025-08-25T20:09:00,phone,resolved,5,"[customer] Can you confirm SHP-202508-000078 is still on track to arrive this week?
[agent.dfoster] Happy to help — SHP-202508-000078 is on schedule out of our Chicago hub; delivery is within the next 1–2 business days.
[customer] Perfect, thank you!"
TKT-200085,CLI-0042,SHP-202502-000286,2025-02-06T23:12:00,phone,resolved,4,"[customer] Requesting an update on SHP-202502-000286. It appears to be failed.
[agent.mruiz] Thank you for your patience. I've located SHP-202502-000286 in our system (origin HUB-CMH). Checking with dispatch now.
[agent.mruiz] Dispatch confirms SHP-202502-000286 will be reattempted next business day. I've flagged your account for a proactive follow-up."
TKT-200023,CLI-0201,SHP-202512-000223,2025-12-14T15:34:00,portal,resolved,2,"[customer] Where is SHP-202512-000223?? Your tracking hasn't updated and my customer is furious. I need answers today.
[agent.kobrien] Thanks for reaching out — I'm sorry for the trouble with SHP-202512-000223. I see it was affected by an exception at our Indianapolis hub. Let me pull the latest.
[customer] That still isn't good enough but I'll wait for the update."
TKT-200125,CLI-0169,SHP-202508-000080,2025-08-07T23:58:00,email,resolved,5,"[customer] Hi — quick question on SHP-202508-000080. Can you confirm the delivery window?
[agent.jbrooks] Attached the POD for SHP-202508-000080. Let me know if there's anything else!
[customer] Thanks for the quick help."
TKT-200177,CLI-0042,SHP-202506-000052,2025-06-27T11:04:00,email,resolved,5,"[customer] Can you confirm SHP-202506-000052 is still on track to arrive this week?
[agent.tpatel] Sure thing. I've noted the update on SHP-202506-000052 and confirmed it with the Indianapolis team.
[customer] Thanks for the quick help."
TKT-200293,CLI-0007,SHP-202504-000279,2025-05-02T23:49:00,chat,resolved,5,"[customer] Hi — quick question on SHP-202504-000279. Can you confirm the delivery window?
[agent.dfoster] Happy to help — SHP-202504-000279 is on schedule out of our Chicago hub; delivery is within the next 1–2 business days.
[customer] Thanks for the quick help."
TKT-200065,CLI-0007,SHP-202511-000378,2025-11-02T20:46:00,phone,pending,,"[customer] Hi, I'm checking on shipment SHP-202511-000378. The status shows delayed — can you tell me the latest ETA?
[agent.kobrien] Thank you for your patience. I've located SHP-202511-000378 in our system (origin HUB-CHI). Checking with dispatch now.
[agent.kobrien] Good news — SHP-202511-000378 is back in motion. I'll monitor it through delivery and confirm the POD with you."
TKT-200056,CLI-0007,SHP-202503-000013,2025-03-07T18:28:00,chat,resolved,2,"[customer] Following up on SHP-202503-000013. Could you confirm whether this will still be delivered this week?
[agent.kobrien] Thank you for your patience. I've located SHP-202503-000013 in our system (origin HUB-DET). Checking with dispatch now.
[agent.kobrien] Good news — SHP-202503-000013 is back in motion. I'll monitor it through delivery and confirm the POD with you.
[customer] Okay, thank you. Please keep me posted."
TKT-200263,CLI-0042,SHP-202502-000115,2025-02-14T20:27:00,email,resolved,5,"[customer] Hi — quick question on SHP-202502-000115. Can you confirm the delivery window?
[agent.tpatel] Happy to help — SHP-202502-000115 is on schedule out of our Chicago hub; delivery is within the next 1–2 business days.
[customer] Perfect, thank you!"
TKT-200220,CLI-0155,SHP-202512-000478,2025-12-20T03:38:00,email,resolved,4,"[customer] Can you confirm SHP-202512-000478 is still on track to arrive this week?
[agent.mruiz] Attached the POD for SHP-202512-000478. Let me know if there's anything else!
[customer] Thanks for the quick help."
TKT-200239,CLI-0155,SHP-202512-000203,2025-12-05T19:13:00,portal,resolved,4,"[customer] Hello, I need to update the delivery contact for SHP-202512-000203 if it hasn't gone out yet.
[agent.jbrooks] Happy to help — SHP-202512-000203 is on schedule out of our Detroit hub; delivery is within the next 1–2 business days.
[customer] Perfect, thank you!"
TKT-200255,CLI-0169,SHP-202512-000476,2025-12-01T06:49:00,email,resolved,5,"[customer] Hi — quick question on SHP-202512-000476. Can you confirm the delivery window?
[agent.kobrien] Happy to help — SHP-202512-000476 is on schedule out of our Indianapolis hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200027,CLI-0155,SHP-202502-000224,2025-02-22T14:48:00,email,resolved,2,"[customer] Where is SHP-202502-000224?? Your tracking hasn't updated and my customer is furious. I need answers today.
[agent.mruiz] Apologies for the delay on SHP-202502-000224. I've opened an investigation and looped in the Indianapolis operations team.
[customer] Appreciate the quick turnaround."
TKT-200264,CLI-0169,SHP-202501-000009,2025-01-27T17:54:00,phone,resolved,5,"[customer] Following up on SHP-202501-000009 — could you send the POD once it's delivered? Accounting needs it.
[agent.tpatel] Happy to help — SHP-202501-000009 is on schedule out of our Cincinnati hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200256,CLI-0201,SHP-202510-000277,2025-10-14T18:27:00,phone,resolved,5,"[customer] Hi — quick question on SHP-202510-000277. Can you confirm the delivery window?
[agent.jbrooks] Attached the POD for SHP-202510-000277. Let me know if there's anything else!
[customer] Great, appreciate it."
