note_id,route_id,driver_id,hub_id,timestamp,exception_type,body
DN-100013,RTE-DET-20251204-002,DRV-01037,HUB-DET,2025-12-04T08:13:00,access,"[12/04 08:13] RTE-DET-20251204-002 / DRV-01037 @ DET
Dock closed early. 4 LTL stops could not unload. Rescheduling AM."
DN-100014,RTE-CHI-20250220-002,DRV-01017,HUB-CHI,2025-02-20T17:29:00,access,"[02/20 17:29] RTE-CHI-20250220-002 / DRV-01017 @ CHI
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100015,RTE-CMH-20250225-002,DRV-01010,HUB-CMH,2025-02-25T15:16:00,volume,"[02/25 15:16] RTE-CMH-20250225-002 / DRV-01010 @ CMH
Peak volume, truck full. 3 pkgs bumped to overflow route."
DN-100016,RTE-IND-20250107-002,DRV-01032,HUB-IND,2025-01-07T09:32:00,weather,"[01/07 09:32] RTE-IND-20250107-002 / DRV-01032 @ IND
Snow/ice on route. 36 stops ATT, 5 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100017,RTE-IND-20251112-001,DRV-01188,HUB-IND,2025-11-12T17:27:00,weather,"[11/12 17:27] RTE-IND-20251112-001 / DRV-01188 @ IND
Freezing rain. Driver DRV-01188 pulled early for safety. 2 stops rolled to tomorrow."
DN-100018,RTE-CIN-20250225-003,DRV-01023,HUB-CIN,2025-02-25T14:33:00,customer_nsf,"[02/25 14:33] RTE-CIN-20250225-003 / DRV-01023 @ CIN
Consignee refused delivery the stop. Return to hub initiated."
DN-100019,RTE-CIN-20251203-004,DRV-01038,HUB-CIN,2025-12-03T18:07:00,weather,"[12/03 18:07] RTE-CIN-20251203-004 / DRV-01038 @ CIN
Freezing rain. Driver DRV-01038 pulled early for safety. 3 stops rolled to tomorrow."
DN-100020,RTE-DET-20251212-003,DRV-01022,HUB-DET,2025-12-12T12:07:00,volume,"[12/12 12:07] RTE-DET-20251212-003 / DRV-01022 @ DET
Peak volume, truck full. 1 pkgs bumped to overflow route."
DN-100021,RTE-DET-20250815-001,DRV-01022,HUB-DET,2025-08-15T18:56:00,access,"[08/15 18:56] RTE-DET-20250815-001 / DRV-01022 @ DET
Dock closed early. 2 LTL stops could not unload. Rescheduling AM."
DN-100022,RTE-DET-20250108-006,DRV-01021,HUB-DET,2025-01-08T08:55:00,mechanical,"[01/08 08:55] RTE-DET-20250108-006 / DRV-01021 @ DET
Check-engine light, reduced power. Swapped to spare, 4 stops late."
DN-100023,RTE-IND-20251124-001,DRV-01188,HUB-IND,2025-11-24T12:48:00,weather,"[11/24 12:48] RTE-IND-20251124-001 / DRV-01188 @ IND
Snow/ice on route. 51 stops ATT, 2 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100024,RTE-CMH-20251223-006,DRV-01028,HUB-CMH,2025-12-23T07:38:00,traffic,"[12/23 07:38] RTE-CMH-20251223-006 / DRV-01028 @ CMH
Accident on route, detour added. 3 DEL slipped past commit."
DN-100025,RTE-CHI-20251209-001,DRV-01020,HUB-CHI,2025-12-09T19:19:00,traffic,"[12/09 19:19] RTE-CHI-20251209-001 / DRV-01020 @ CHI
I-65 closure, major backup. ETA +90m. 4 stops missed cutoff."
DN-100026,RTE-CHI-20250815-003,DRV-01017,HUB-CHI,2025-08-15T08:05:00,address,"[08/15 08:05] RTE-CHI-20250815-003 / DRV-01017 @ CHI
Suite # missing, 3 stops undeliverable. Contacting account for update."
DN-100027,RTE-CHI-20251225-002,DRV-01005,HUB-CHI,2025-12-25T09:08:00,customer_nsf,"[12/25 09:08] RTE-CHI-20251225-002 / DRV-01005 @ CHI
Consignee refused delivery the stop. Return to hub initiated."
DN-100028,RTE-CHI-20251209-002,DRV-01005,HUB-CHI,2025-12-09T16:27:00,customer_nsf,"[12/09 16:27] RTE-CHI-20251209-002 / DRV-01005 @ CHI
the stop NSF - business closed. ATT 1440. Reattempt next biz day."
DN-100029,RTE-CMH-20251128-003,DRV-01013,HUB-CMH,2025-11-28T18:19:00,address,"[11/28 18:19] RTE-CMH-20251128-003 / DRV-01013 @ CMH
Suite # missing, 6 stops undeliverable. Contacting account for update."
DN-100030,RTE-DET-20251230-003,DRV-01014,HUB-DET,2025-12-30T15:28:00,mechanical,"[12/30 15:28] RTE-DET-20251230-003 / DRV-01014 @ DET
Liftgate fault mid-route. DRV-01014 completed 27 stops manual, 3 deferred. VEH flagged for shop."
DN-100031,RTE-DET-20250508-002,DRV-01037,HUB-DET,2025-05-08T16:35:00,mechanical,"[05/08 16:35] RTE-DET-20250508-002 / DRV-01037 @ DET
Liftgate fault mid-route. DRV-01037 completed 36 stops manual, 2 deferred. VEH flagged for shop."
DN-100032,RTE-IND-20251209-002,DRV-01188,HUB-IND,2025-12-09T17:03:00,weather,"[12/09 17:03] RTE-IND-20251209-002 / DRV-01188 @ IND
Snow/ice on route. 65 stops ATT, 1 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100033,RTE-CMH-20250109-003,DRV-01049,HUB-CMH,2025-01-09T08:32:00,traffic,"[01/09 08:32] RTE-CMH-20250109-003 / DRV-01049 @ CMH
I-74 closure, major backup. ETA +90m. 4 stops missed cutoff."
DN-100034,RTE-DET-20251209-002,DRV-01046,HUB-DET,2025-12-09T09:46:00,weather,"[12/09 09:46] RTE-DET-20251209-002 / DRV-01046 @ DET
Freezing rain. Driver DRV-01046 pulled early for safety. 3 stops rolled to tomorrow."
DN-100035,RTE-CMH-20250203-004,DRV-01013,HUB-CMH,2025-02-03T19:26:00,volume,"[02/03 19:26] RTE-CMH-20250203-004 / DRV-01013 @ CMH
Overloaded manifest, 52 stops assigned. 6 could not be completed in service window."
DN-100036,RTE-CHI-20251104-002,DRV-01011,HUB-CHI,2025-11-04T13:26:00,mechanical,"[11/04 13:26] RTE-CHI-20251104-002 / DRV-01011 @ CHI
Check-engine light, reduced power. Swapped to spare, 2 stops late."
DN-100037,RTE-DET-20250115-001,DRV-01004,HUB-DET,2025-01-15T17:06:00,address,"[01/15 17:06] RTE-DET-20250115-001 / DRV-01004 @ DET
Bad address on the stop. Geocode off by ~3mi. Held for dispatch correction."
DN-100038,RTE-IND-20251211-005,DRV-01031,HUB-IND,2025-12-11T08:15:00,volume,"[12/11 08:15] RTE-IND-20251211-005 / DRV-01031 @ IND
Overloaded manifest, 40 stops assigned. 2 could not be completed in service window."
DN-100039,RTE-IND-20251218-002,DRV-01006,HUB-IND,2025-12-18T08:28:00,mechanical,"[12/18 08:28] RTE-IND-20251218-002 / DRV-01006 @ IND
Liftgate fault mid-route. DRV-01006 completed 48 stops manual, 4 deferred. VEH flagged for shop."
DN-100040,RTE-DET-20250213-002,DRV-01021,HUB-DET,2025-02-13T07:05:00,customer_nsf,"[02/13 07:05] RTE-DET-20250213-002 / DRV-01021 @ DET
the stop NSF - business closed. ATT 1440. Reattempt next biz day."
DN-100041,RTE-CIN-20250626-001,DRV-01008,HUB-CIN,2025-06-26T13:57:00,customer_nsf,"[06/26 13:57] RTE-CIN-20250626-001 / DRV-01008 @ CIN
the stop NSF - business closed. ATT 1440. Reattempt next biz day."
DN-100042,RTE-IND-20250425-002,DRV-01032,HUB-IND,2025-04-25T11:59:00,traffic,"[04/25 11:59] RTE-IND-20250425-002 / DRV-01032 @ IND
Accident on route, detour added. 2 DEL slipped past commit."
DN-100043,RTE-DET-20250205-002,DRV-01037,HUB-DET,2025-02-05T19:35:00,traffic,"[02/05 19:35] RTE-DET-20250205-002 / DRV-01037 @ DET
Accident on route, detour added. 4 DEL slipped past commit."
DN-100044,RTE-DET-20251228-001,DRV-01004,HUB-DET,2025-12-28T07:37:00,weather,"[12/28 07:37] RTE-DET-20251228-001 / DRV-01004 @ DET
Snow/ice on route. 45 stops ATT, 3 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100045,RTE-DET-20251218-003,DRV-01014,HUB-DET,2025-12-18T14:32:00,weather,"[12/18 14:32] RTE-DET-20251218-003 / DRV-01014 @ DET
Freezing rain. Driver DRV-01014 pulled early for safety. 1 stops rolled to tomorrow."
DN-100046,RTE-DET-20250717-001,DRV-01021,HUB-DET,2025-07-17T09:04:00,customer_nsf,"[07/17 09:04] RTE-DET-20250717-001 / DRV-01021 @ DET
the stop NSF - business closed. ATT 1440. Reattempt next biz day."
DN-100047,RTE-CIN-20251203-004,DRV-01038,HUB-CIN,2025-12-03T16:15:00,access,"[12/03 16:15] RTE-CIN-20251203-004 / DRV-01038 @ CIN
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100048,RTE-IND-20250214-001,DRV-01045,HUB-IND,2025-02-14T16:33:00,address,"[02/14 16:33] RTE-IND-20250214-001 / DRV-01045 @ IND
Suite # missing, 4 stops undeliverable. Contacting account for update."
DN-100049,RTE-IND-20250107-001,DRV-01032,HUB-IND,2025-01-07T10:16:00,address,"[01/07 10:16] RTE-IND-20250107-001 / DRV-01032 @ IND
Suite # missing, 1 stops undeliverable. Contacting account for update."
DN-100050,RTE-IND-20250212-003,DRV-01033,HUB-IND,2025-02-12T07:29:00,traffic,"[02/12 07:29] RTE-IND-20250212-003 / DRV-01033 @ IND
I-65 closure, major backup. ETA +90m. 1 stops missed cutoff."
DN-100051,RTE-CHI-20250921-001,DRV-01011,HUB-CHI,2025-09-21T09:59:00,customer_nsf,"[09/21 09:59] RTE-CHI-20250921-001 / DRV-01011 @ CHI
Consignee refused delivery the stop. Return to hub initiated."
DN-100052,RTE-CIN-20250130-002,DRV-01002,HUB-CIN,2025-01-30T09:28:00,access,"[01/30 09:28] RTE-CIN-20250130-002 / DRV-01002 @ CIN
Dock closed early. 4 LTL stops could not unload. Rescheduling AM."
DN-100053,RTE-CMH-20250130-001,DRV-01010,HUB-CMH,2025-01-30T15:00:00,volume,"[01/30 15:00] RTE-CMH-20250130-001 / DRV-01010 @ CMH
Peak volume, truck full. 3 pkgs bumped to overflow route."
DN-100054,RTE-DET-20250520-001,DRV-01004,HUB-DET,2025-05-20T11:07:00,traffic,"[05/20 11:07] RTE-DET-20250520-001 / DRV-01004 @ DET
I-71 closure, major backup. ETA +90m. 2 stops missed cutoff."
DN-100055,RTE-IND-20251119-001,DRV-01031,HUB-IND,2025-11-19T16:13:00,weather,"[11/19 16:13] RTE-IND-20251119-001 / DRV-01031 @ IND
Freezing rain. Driver DRV-01031 pulled early for safety. 5 stops rolled to tomorrow."
DN-100056,RTE-IND-20250317-001,DRV-01188,HUB-IND,2025-03-17T11:32:00,address,"[03/17 11:32] RTE-IND-20250317-001 / DRV-01188 @ IND
Bad address on the stop. Geocode off by ~3mi. Held for dispatch correction."
DN-100057,RTE-DET-20250429-003,DRV-01014,HUB-DET,2025-04-29T07:00:00,traffic,"[04/29 07:00] RTE-DET-20250429-003 / DRV-01014 @ DET
Accident on route, detour added. 1 DEL slipped past commit."
DN-100058,RTE-DET-20250422-003,DRV-01021,HUB-DET,2025-04-22T18:28:00,mechanical,"[04/22 18:28] RTE-DET-20250422-003 / DRV-01021 @ DET
Check-engine light, reduced power. Swapped to spare, 3 stops late."
DN-100059,RTE-IND-20250112-001,DRV-01045,HUB-IND,2025-01-12T18:57:00,weather,"[01/12 18:57] RTE-IND-20250112-001 / DRV-01045 @ IND
Snow/ice on route. 48 stops ATT, 4 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100060,RTE-CHI-20251204-001,DRV-01047,HUB-CHI,2025-12-04T15:09:00,access,"[12/04 15:09] RTE-CHI-20251204-001 / DRV-01047 @ CHI
Dock closed early. 2 LTL stops could not unload. Rescheduling AM."
DN-100061,RTE-CMH-20250110-001,DRV-01036,HUB-CMH,2025-01-10T19:55:00,access,"[01/10 19:55] RTE-CMH-20250110-001 / DRV-01036 @ CMH
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100062,RTE-DET-20251229-001,DRV-01037,HUB-DET,2025-12-29T08:22:00,weather,"[12/29 08:22] RTE-DET-20251229-001 / DRV-01037 @ DET
Freezing rain. Driver DRV-01037 pulled early for safety. 5 stops rolled to tomorrow."
DN-100063,RTE-DET-20250103-004,DRV-01014,HUB-DET,2025-01-03T10:55:00,volume,"[01/03 10:55] RTE-DET-20250103-004 / DRV-01014 @ DET
Overloaded manifest, 28 stops assigned. 3 could not be completed in service window."
DN-100064,RTE-CMH-20251225-002,DRV-01016,HUB-CMH,2025-12-25T18:59:00,weather,"[12/25 18:59] RTE-CMH-20251225-002 / DRV-01016 @ CMH
Freezing rain. Driver DRV-01016 pulled early for safety. 6 stops rolled to tomorrow."
DN-100065,RTE-CIN-20250726-003,DRV-01026,HUB-CIN,2025-07-26T19:44:00,mechanical,"[07/26 19:44] RTE-CIN-20250726-003 / DRV-01026 @ CIN
Liftgate fault mid-route. DRV-01026 completed 52 stops manual, 3 deferred. VEH flagged for shop."
DN-100066,RTE-IND-20250211-003,DRV-01031,HUB-IND,2025-02-11T10:12:00,traffic,"[02/11 10:12] RTE-IND-20250211-003 / DRV-01031 @ IND
Accident on route, detour added. 5 DEL slipped past commit."
DN-100067,RTE-CHI-20251024-004,DRV-01017,HUB-CHI,2025-10-24T10:14:00,volume,"[10/24 10:14] RTE-CHI-20251024-004 / DRV-01017 @ CHI
Overloaded manifest, 53 stops assigned. 2 could not be completed in service window."
DN-100068,RTE-CMH-20250102-004,DRV-01015,HUB-CMH,2025-01-02T08:49:00,access,"[01/02 08:49] RTE-CMH-20250102-004 / DRV-01015 @ CMH
Dock closed early. 5 LTL stops could not unload. Rescheduling AM."
DN-100069,RTE-CIN-20251204-001,DRV-01034,HUB-CIN,2025-12-04T15:21:00,access,"[12/04 15:21] RTE-CIN-20251204-001 / DRV-01034 @ CIN
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100070,RTE-CHI-20250106-004,DRV-01017,HUB-CHI,2025-01-06T16:16:00,weather,"[01/06 16:16] RTE-CHI-20250106-004 / DRV-01017 @ CHI
Snow/ice on route. 36 stops ATT, 6 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100071,RTE-IND-20251215-002,DRV-01188,HUB-IND,2025-12-15T19:20:00,access,"[12/15 19:20] RTE-IND-20251215-002 / DRV-01188 @ IND
Dock closed early. 4 LTL stops could not unload. Rescheduling AM."
DN-100072,RTE-CIN-20250218-003,DRV-01041,HUB-CIN,2025-02-18T16:12:00,weather,"[02/18 16:12] RTE-CIN-20250218-003 / DRV-01041 @ CIN
Whiteout conditions Cincinnati. Held 1 pkgs at hub, road closures on the north loop. POD delayed."
DN-100073,RTE-CIN-20251219-003,DRV-01025,HUB-CIN,2025-12-19T19:34:00,weather,"[12/19 19:34] RTE-CIN-20251219-003 / DRV-01025 @ CIN
Freezing rain. Driver DRV-01025 pulled early for safety. 5 stops rolled to tomorrow."
DN-100074,RTE-IND-20250214-004,DRV-01045,HUB-IND,2025-02-14T10:23:00,volume,"[02/14 10:23] RTE-IND-20250214-004 / DRV-01045 @ IND
Peak volume, truck full. 2 pkgs bumped to overflow route."
DN-100075,RTE-DET-20250114-003,DRV-01014,HUB-DET,2025-01-14T16:20:00,traffic,"[01/14 16:20] RTE-DET-20250114-003 / DRV-01014 @ DET
I-71 closure, major backup. ETA +90m. 2 stops missed cutoff."
DN-100076,RTE-CIN-20250209-003,DRV-01027,HUB-CIN,2025-02-09T17:26:00,mechanical,"[02/09 17:26] RTE-CIN-20250209-003 / DRV-01027 @ CIN
Check-engine light, reduced power. Swapped to spare, 1 stops late."
DN-100077,RTE-CMH-20251112-003,DRV-01044,HUB-CMH,2025-11-12T10:26:00,customer_nsf,"[11/12 10:26] RTE-CMH-20251112-003 / DRV-01044 @ CMH
Consignee refused delivery the stop. Return to hub initiated."
DN-100078,RTE-IND-20251203-004,DRV-01024,HUB-IND,2025-12-03T16:19:00,weather,"[12/03 16:19] RTE-IND-20251203-004 / DRV-01024 @ IND
Whiteout conditions Indianapolis. Held 4 pkgs at hub, road closures on the north loop. POD delayed."
DN-100079,RTE-CHI-20251219-004,DRV-01011,HUB-CHI,2025-12-19T10:27:00,weather,"[12/19 10:27] RTE-CHI-20251219-004 / DRV-01011 @ CHI
Freezing rain. Driver DRV-01011 pulled early for safety. 6 stops rolled to tomorrow."
DN-100080,RTE-DET-20250203-002,DRV-01021,HUB-DET,2025-02-03T17:13:00,mechanical,"[02/03 17:13] RTE-DET-20250203-002 / DRV-01021 @ DET
Check-engine light, reduced power. Swapped to spare, 4 stops late."
DN-100081,RTE-CHI-20251213-001,DRV-01047,HUB-CHI,2025-12-13T15:42:00,weather,"[12/13 15:42] RTE-CHI-20251213-001 / DRV-01047 @ CHI
Freezing rain. Driver DRV-01047 pulled early for safety. 5 stops rolled to tomorrow."
DN-100082,RTE-CIN-20250106-001,DRV-01008,HUB-CIN,2025-01-06T19:15:00,volume,"[01/06 19:15] RTE-CIN-20250106-001 / DRV-01008 @ CIN
Peak volume, truck full. 2 pkgs bumped to overflow route."
DN-100083,RTE-DET-20250711-002,DRV-01022,HUB-DET,2025-07-11T07:15:00,access,"[07/11 07:15] RTE-DET-20250711-002 / DRV-01022 @ DET
Dock closed early. 2 LTL stops could not unload. Rescheduling AM."
DN-100084,RTE-CIN-20250101-003,DRV-01002,HUB-CIN,2025-01-01T13:56:00,weather,"[01/01 13:56] RTE-CIN-20250101-003 / DRV-01002 @ CIN
Freezing rain. Driver DRV-01002 pulled early for safety. 1 stops rolled to tomorrow."
DN-100085,RTE-CMH-20250102-004,DRV-01015,HUB-CMH,2025-01-02T14:25:00,address,"[01/02 14:25] RTE-CMH-20250102-004 / DRV-01015 @ CMH
Bad address on the stop. Geocode off by ~3mi. Held for dispatch correction."
DN-100086,RTE-IND-20250411-003,DRV-01033,HUB-IND,2025-04-11T19:55:00,access,"[04/11 19:55] RTE-IND-20250411-003 / DRV-01033 @ IND
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100087,RTE-CHI-20251218-001,DRV-01048,HUB-CHI,2025-12-18T18:33:00,volume,"[12/18 18:33] RTE-CHI-20251218-001 / DRV-01048 @ CHI
Peak volume, truck full. 6 pkgs bumped to overflow route."
DN-100088,RTE-CHI-20251223-003,DRV-01047,HUB-CHI,2025-12-23T08:29:00,traffic,"[12/23 08:29] RTE-CHI-20251223-003 / DRV-01047 @ CHI
Accident on route, detour added. 6 DEL slipped past commit."
DN-100089,RTE-IND-20251107-004,DRV-01031,HUB-IND,2025-11-07T15:27:00,address,"[11/07 15:27] RTE-IND-20251107-004 / DRV-01031 @ IND
Suite # missing, 5 stops undeliverable. Contacting account for update."
DN-100090,RTE-CIN-20251112-001,DRV-01008,HUB-CIN,2025-11-12T11:48:00,mechanical,"[11/12 11:48] RTE-CIN-20251112-001 / DRV-01008 @ CIN
Liftgate fault mid-route. DRV-01008 completed 39 stops manual, 4 deferred. VEH flagged for shop."
DN-100091,RTE-CIN-20250203-001,DRV-01041,HUB-CIN,2025-02-03T14:40:00,volume,"[02/03 14:40] RTE-CIN-20250203-001 / DRV-01041 @ CIN
Overloaded manifest, 36 stops assigned. 1 could not be completed in service window."
DN-100092,RTE-CIN-20250108-004,DRV-01019,HUB-CIN,2025-01-08T10:17:00,address,"[01/08 10:17] RTE-CIN-20250108-004 / DRV-01019 @ CIN
Suite # missing, 5 stops undeliverable. Contacting account for update."
DN-100093,RTE-CHI-20251027-001,DRV-01005,HUB-CHI,2025-10-27T09:14:00,access,"[10/27 09:14] RTE-CHI-20251027-001 / DRV-01005 @ CHI
Dock closed early. 1 LTL stops could not unload. Rescheduling AM."
DN-100094,RTE-IND-20251112-001,DRV-01188,HUB-IND,2025-11-12T13:26:00,weather,"[11/12 13:26] RTE-IND-20251112-001 / DRV-01188 @ IND
Whiteout conditions Indianapolis. Held 2 pkgs at hub, road closures on the north loop. POD delayed."
DN-100095,RTE-IND-20251014-004,DRV-01188,HUB-IND,2025-10-14T13:24:00,access,"[10/14 13:24] RTE-IND-20251014-004 / DRV-01188 @ IND
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100096,RTE-CMH-20251220-002,DRV-01010,HUB-CMH,2025-12-20T12:19:00,weather,"[12/20 12:19] RTE-CMH-20251220-002 / DRV-01010 @ CMH
Whiteout conditions Columbus. Held 1 pkgs at hub, road closures on the north loop. POD delayed."
DN-100097,RTE-CMH-20250512-004,DRV-01010,HUB-CMH,2025-05-12T19:38:00,volume,"[05/12 19:38] RTE-CMH-20250512-004 / DRV-01010 @ CMH
Overloaded manifest, 65 stops assigned. 2 could not be completed in service window."
DN-100098,RTE-CHI-20251218-001,DRV-01048,HUB-CHI,2025-12-18T07:24:00,mechanical,"[12/18 07:24] RTE-CHI-20251218-001 / DRV-01048 @ CHI
Check-engine light, reduced power. Swapped to spare, 6 stops late."
DN-100099,RTE-IND-20251226-002,DRV-01031,HUB-IND,2025-12-26T09:53:00,access,"[12/26 09:53] RTE-IND-20251226-002 / DRV-01031 @ IND
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100100,RTE-CHI-20250218-002,DRV-01035,HUB-CHI,2025-02-18T16:36:00,traffic,"[02/18 16:36] RTE-CHI-20250218-002 / DRV-01035 @ CHI
I-65 closure, major backup. ETA +90m. 5 stops missed cutoff."
DN-100101,RTE-CIN-20250209-001,DRV-01041,HUB-CIN,2025-02-09T14:11:00,weather,"[02/09 14:11] RTE-CIN-20250209-001 / DRV-01041 @ CIN
Snow/ice on route. 20 stops ATT, 6 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100102,RTE-IND-20250425-002,DRV-01032,HUB-IND,2025-04-25T12:21:00,mechanical,"[04/25 12:21] RTE-IND-20250425-002 / DRV-01032 @ IND
Check-engine light, reduced power. Swapped to spare, 2 stops late."
DN-100103,RTE-DET-20251212-003,DRV-01022,HUB-DET,2025-12-12T11:53:00,volume,"[12/12 11:53] RTE-DET-20251212-003 / DRV-01022 @ DET
Overloaded manifest, 52 stops assigned. 1 could not be completed in service window."
DN-100104,RTE-CHI-20251209-001,DRV-01020,HUB-CHI,2025-12-09T12:14:00,customer_nsf,"[12/09 12:14] RTE-CHI-20251209-001 / DRV-01020 @ CHI
the stop NSF - business closed. ATT 1440. Reattempt next biz day."
DN-100105,RTE-CHI-20250418-001,DRV-01047,HUB-CHI,2025-04-18T10:12:00,access,"[04/18 10:12] RTE-CHI-20250418-001 / DRV-01047 @ CHI
Gate locked at delivery, no answer. ATT x2. the stop left as NSF, reattempt scheduled."
DN-100106,RTE-IND-20251112-001,DRV-01188,HUB-IND,2025-11-12T17:07:00,weather,"[11/12 17:07] RTE-IND-20251112-001 / DRV-01188 @ IND
Freezing rain. Driver DRV-01188 pulled early for safety. 2 stops rolled to tomorrow."
DN-100107,RTE-IND-20250128-001,DRV-01033,HUB-IND,2025-01-28T12:10:00,weather,"[01/28 12:10] RTE-IND-20250128-001 / DRV-01033 @ IND
Freezing rain. Driver DRV-01033 pulled early for safety. 4 stops rolled to tomorrow."
DN-100108,RTE-IND-20250226-003,DRV-01006,HUB-IND,2025-02-26T19:52:00,address,"[02/26 19:52] RTE-IND-20250226-003 / DRV-01006 @ IND
Bad address on the stop. Geocode off by ~3mi. Held for dispatch correction."
DN-100109,RTE-CMH-20250115-002,DRV-01028,HUB-CMH,2025-01-15T11:36:00,weather,"[01/15 11:36] RTE-CMH-20250115-002 / DRV-01028 @ CMH
Freezing rain. Driver DRV-01028 pulled early for safety. 1 stops rolled to tomorrow."
DN-100110,RTE-CMH-20251111-001,DRV-01043,HUB-CMH,2025-11-11T08:37:00,address,"[11/11 08:37] RTE-CMH-20251111-001 / DRV-01043 @ CMH
Bad address on the stop. Geocode off by ~3mi. Held for dispatch correction."
DN-100111,RTE-CMH-20251112-003,DRV-01044,HUB-CMH,2025-11-12T17:38:00,weather,"[11/12 17:38] RTE-CMH-20251112-003 / DRV-01044 @ CMH
Snow/ice on route. 64 stops ATT, 6 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100112,RTE-DET-20250909-002,DRV-01046,HUB-DET,2025-09-09T13:42:00,mechanical,"[09/09 13:42] RTE-DET-20250909-002 / DRV-01046 @ DET
Check-engine light, reduced power. Swapped to spare, 3 stops late."
DN-100113,RTE-CIN-20251222-001,DRV-01019,HUB-CIN,2025-12-22T13:52:00,access,"[12/22 13:52] RTE-CIN-20251222-001 / DRV-01019 @ CIN
Dock closed early. 2 LTL stops could not unload. Rescheduling AM."
